09-19-40.164000,[R]: 20 
09-19-40.167000,[R]: 1 
09-19-40.169000,[R]: 50 
09-19-40.173000,[R]: 2 
09-19-40.180000,[R]: 3 
09-19-40.183000,S 5 	RSSI: 54
09-19-40.186000,[R]: 4 
09-19-40.193000,[R]: 5 
09-19-40.200000,[R]: 6 
09-19-40.202000,[R]: 20 
09-19-40.208000,[R]: 1 
09-19-40.208000,[R]: 50 
09-19-40.213000,[R]: 2 
09-19-40.216000,S 3 	RSSI: 51
09-19-40.218000,S 4 	RSSI: 51
09-19-40.220000,[R]: 3 
09-19-40.227000,[R]: 4 
09-19-40.230000,S 7 	RSSI: 44
09-19-40.234000,[R]: 5 
09-19-40.240000,[R]: 6 
09-19-40.243000,[R]: 20 
09-19-40.247000,[R]: 1 
09-19-40.248000,[R]: 50 
09-19-40.257000,[R]: 2 
09-19-40.260000,[R]: 3 
09-19-40.267000,[R]: 4 
09-19-40.273000,S 7 	RSSI: 44
09-19-40.274000,[R]: 5 
09-19-40.281000,[R]: 6 
09-19-40.289000,[R]: 20 
09-19-40.291000,[R]: 1 
09-19-40.291000,[R]: 50 
09-19-40.292000,S 4 	RSSI: 51
09-19-40.294000,[R]: 2 
09-19-40.301000,[R]: 3 
09-19-40.307000,S 7 	RSSI: 45
09-19-40.309000,[R]: 4 
09-19-40.315000,[R]: 5 
09-19-40.319000,S 8 	RSSI: 50
09-19-40.321000,[R]: 6 
09-19-40.323000,[R]: 20 
09-19-40.328000,[R]: 1 
09-19-40.337000,[R]: 50 
09-19-40.340000,[R]: 2 
09-19-40.340000,S 7 	RSSI: 44
09-19-40.341000,[R]: 3 
09-19-40.343000,S 5 	RSSI: 54
09-19-40.349000,[R]: 4 
09-19-40.354000,[R]: 5 
09-19-40.358000,S 4 	RSSI: 51
09-19-40.360000,[R]: 6 
09-19-40.363000,[R]: 20 
09-19-40.369000,[R]: 1 
09-19-40.373000,[R]: 50 
09-19-40.374000,S 7 	RSSI: 44
09-19-40.374000,[R]: 2 
09-19-40.378000,S 3 	RSSI: 51
09-19-40.380000,[R]: 3 
09-19-40.383000,S 5 	RSSI: 54
09-19-40.387000,[R]: 4 
09-19-40.390000,S 4 	RSSI: 51
09-19-40.393000,[R]: 5 
09-19-40.400000,[R]: 6 
09-19-40.403000,S 7 	RSSI: 44
09-19-40.404000,[R]: 20 
09-19-40.407000,[R]: 1 
09-19-40.408000,[R]: 50 
09-19-40.413000,[R]: 2 
09-19-40.416000,S 5 	RSSI: 54
09-19-40.420000,[R]: 3 
09-19-40.426000,[R]: 4 
09-19-40.432000,S 7 	RSSI: 44
09-19-40.434000,[R]: 5 
09-19-40.445000,[R]: 6 
09-19-40.446000,[R]: 20 
09-19-40.447000,[R]: 1 
09-19-40.449000,[R]: 50 
09-19-40.450000,S 5 	RSSI: 54
09-19-40.453000,[R]: 2 
09-19-40.460000,[R]: 3 
09-19-40.465000,S 7 	RSSI: 44
09-19-40.467000,[R]: 4 
09-19-40.477000,[R]: 5 
09-19-40.477000,S 8 	RSSI: 49
09-19-40.480000,[R]: 6 
09-19-40.482000,S 5 	RSSI: 54
09-19-40.483000,[R]: 20 
09-19-40.488000,[R]: 1 
09-19-40.490000,[R]: 50 
09-19-40.494000,[R]: 2 
09-19-40.495000,S 3 	RSSI: 51
09-19-40.504000,S 7 	RSSI: 44
09-19-40.505000,[R]: 3 
09-19-40.505000,S 5 	RSSI: 54
09-19-40.507000,[R]: 4 
09-19-40.510000,S 6 	RSSI: 48
09-19-40.512000,[R]: 5 
09-19-40.515000,S 8 	RSSI: 49
09-19-40.520000,[R]: 6 
09-19-40.522000,[R]: 20 
09-19-40.526000,[R]: 1 
09-19-40.527000,[R]: 50 
09-19-40.532000,[R]: 2 
09-19-40.536000,S 3 	RSSI: 51
09-19-40.538000,[R]: 3 
09-19-40.543000,S 5 	RSSI: 54
09-19-40.545000,[R]: 4 
09-19-40.548000,S 8 	RSSI: 49
09-19-40.552000,[R]: 5 
09-19-40.559000,[R]: 6 
09-19-40.570000,S 7 	RSSI: 44
09-19-40.571000,[R]: 20 
09-19-40.572000,[R]: 1 
09-19-40.573000,[R]: 50 
09-19-40.574000,S 3 	RSSI: 51
09-19-40.575000,[R]: 2 
09-19-40.576000,S 5 	RSSI: 54
09-19-40.581000,[R]: 3 
09-19-40.583000,S 8 	RSSI: 49
09-19-40.585000,[R]: 4 
09-19-40.596000,[R]: 5 
09-19-40.600000,[R]: 6 
09-19-40.600000,S 3 	RSSI: 51
09-19-40.602000,[R]: 20 
09-19-40.606000,[R]: 1 
