09-46-23.294000,------------------------------------
09-46-23.295000,[R]: 10 
09-46-23.295000,[R]: 10 
09-46-23.296000,[R]: 10 
09-46-23.297000,[R]: 10 
09-46-23.300000,[R]: 10 
09-46-23.300000,[R]: 10 
09-46-23.301000,[R]: 10 
09-46-23.301000,[R]: 10 
09-46-23.302000,[R]: 10 
09-46-23.302000,[R]: 10 
09-46-23.304000,[R]: 10 
09-46-23.305000,[R]: 10 
09-46-23.305000,[R]: 10 
09-46-23.306000,[R]: 10 
09-46-23.306000,[R]: 10 
09-46-23.307000,[R]: 10 
09-46-23.307000,[R]: 10 
09-46-23.308000,[R]: 10 
09-46-23.308000,[R]: 10 
09-46-23.308000,[R]:[R]: 10 
09-46-23.309000,[R]: 10 
09-46-23.309000,[R]: 10 
09-46-23.314000,[R]: 10 
09-46-23.321000,[R]: 10 
09-46-23.329000,[R]: 10 
09-46-23.336000,[R]: 10 
09-46-23.343000,[R]: 10 
09-46-23.350000,[R]: 10 
09-46-23.357000,[R]: 10 
09-46-23.365000,[R]: 10 
09-46-23.372000,[R]: 10 
09-46-23.379000,[R]: 10 
09-46-23.386000,[R]: 10 
09-46-23.394000,[R]: 10 
09-46-23.401000,[R]: 10 
09-46-23.408000,[R]: 10 
09-46-23.415000,[R]: 10 
09-46-23.423000,[R]: 10 
09-46-23.430000,[R]: 10 
09-46-23.437000,[R]: 10 
09-46-23.445000,[R]: 10 
09-46-23.452000,[R]: 10 
09-46-23.459000,[R]: 10 
09-46-23.466000,[R]: 10 
09-46-23.473000,[R]: 10 
09-46-23.481000,[R]: 10 
09-46-23.488000,[R]: 10 
09-46-23.495000,[R]: 10 
09-46-23.502000,[R]: 10 
09-46-23.510000,[R]: 10 
09-46-23.517000,[R]: 10 
09-46-23.524000,[R]: 10 
09-46-23.531000,[R]: 10 
09-46-23.539000,[R]: 10 
09-46-23.546000,[R]: 10 
09-46-23.553000,[R]: 10 
09-46-23.560000,[R]: 10 
09-46-23.568000,[R]: 10 
09-46-23.575000,[R]: 10 
09-46-23.583000,[R]: 10 
09-46-23.589000,[R]: 10 
09-46-23.597000,[R]: 10 
09-46-23.605000,[R]: 10 
09-46-23.612000,[R]: 10 
09-46-23.619000,[R]: 10 
09-46-23.626000,[R]: 10 
09-46-23.633000,[R]: 10 
09-46-23.641000,[R]: 10 
09-46-23.648000,[R]: 10 
09-46-23.655000,[R]: 10 
