09-46-31.936000,-------------------
09-46-31.937000,[R]: 10 
09-46-31.938000,[R]: 10 
09-46-31.939000,[R]: 20 
09-46-31.939000,[R]: 10 
09-46-31.940000,[R]: 1 
09-46-31.941000,[R]: 50 
09-46-31.941000,[R]: 10 
09-46-31.950000,[R]: 2 
09-46-31.951000,[R]: 10 
09-46-31.952000,[R]: 1 
09-46-31.952000,[R]: 50 
09-46-31.963000,[R]: 20 
09-46-31.973000,[R]: 10 
09-46-31.974000,[R]: 1 
09-46-31.974000,[R]: 50 
09-46-31.974000,[R]: 20 
09-46-31.978000,[R]: 10 
09-46-31.979000,[R]: 1 
09-46-31.979000,[R]: 50 
09-46-31.980000,"[R]: 10 [R]: 20 "
09-46-31.981000,[R]: 10 
09-46-31.983000,[R]: 1 
09-46-31.997000,[R]: 50 
09-46-31.998000,[R]: 10 
09-46-32.007000,[R]: 2 
09-46-32.008000,S 2 	RSSI: 44
09-46-32.012000,[R]: 10 
09-46-32.013000,[R]: 1 
09-46-32.028000,[R]: 50 
09-46-32.029000,[R]: 10 
09-46-32.043000,[R]: 2 
09-46-32.044000,S 2 	RSSI: 46
09-46-32.046000,[R]: 20 
09-46-32.051000,[R]: 10 
09-46-32.052000,[R]: 1 
09-46-32.052000,[R]: 50 
09-46-32.053000,[R]: 10 
09-46-32.053000,[R]: 2 
09-46-32.057000,[R]: 10 
09-46-32.063000,[R]: 1 
09-46-32.063000,[R]: 50 
09-46-32.079000,[R]: 20 
09-46-32.079000,[R]: 10 
09-46-32.086000,[R]: 1 
09-46-32.087000,[R]: 50 
09-46-32.087000,[R]: 20 
09-46-32.088000,[R]: 10 
09-46-32.089000,[R]: 1 
09-46-32.089000,[R]: 50 
09-46-32.090000,[R]: 10 
09-46-32.090000,[R]: 2 
09-46-32.110000,S 2 	RSSI: 45
09-46-32.111000,[R]: 10 
09-46-32.121000,[R]: 1 
09-46-32.122000,[R]: 50 
09-46-32.124000,[R]: 20 
09-46-32.124000,[R]: 10 
09-46-32.125000,[R]: 1 
09-46-32.125000,[R]: 50 
09-46-32.128000,[R]: 10 
09-46-32.129000,[R]: 2 
09-46-32.129000,[R]: 10 
09-46-32.130000,[R]: 1 
09-46-32.130000,[R]: 50 
09-46-32.131000,S 2 	RSSI: 45
