14-30-08.758000,"ÿ""Scanner enabled\r\n"""
14-30-10.592000,"""type 2, info: ---a_new_sensor_enters---"""
14-30-20.649000,"""type 1, info: ---a_new_sensor_enters---"""
14-30-20.667000,"""COUNT 0 0"
14-30-20.668000,[0] 0 0
14-30-20.668000,[1] 0 0
14-30-20.669000,""""
14-30-20.669000,"""type 4, info: sync"""
14-30-20.670000,"""COUNT 0 0"
14-30-20.671000,[0] 0 0
14-30-20.671000,[1] 0 0
14-30-20.671000,""""
14-30-20.672000,"""type 4, info: sync"""
14-30-20.672000,"""Sensor: 2. RSSI: 68"""
14-30-20.672000,"""COUNT 0 1"
14-30-20.673000,[0] 0 0
14-30-20.673000,[1] 0 0
14-30-20.674000,""""
14-30-20.674000,"""type 4, info: sync"""
14-30-20.680000,"""COUNT 0 0"
14-30-20.680000,[0] 0 0
14-30-20.681000,[1] 0 0
14-30-20.681000,""""
14-30-20.681000,"""type 4, info: sync"""
14-30-20.682000,"""Sensor: 2. RSSI: 68"""
14-30-20.685000,"""COUNT 0 1"
14-30-20.686000,[0] 0 0
14-30-20.686000,[1] 0 0
14-30-20.698000,""""
14-30-20.698000,"""type 4, info: sync"""
14-30-20.699000,"""Sensor: 1. RSSI: 61"""
14-30-20.699000,"""Sensor: 2. RSSI: 68"""
14-30-20.700000,"""COUNT 1 1"
14-30-20.700000,[0] 0 0
14-30-20.700000,[1] 0 0
14-30-20.701000,""""
14-30-20.701000,"""type 4, info: sync"""
14-30-20.702000,"""Sensor: 1. RSSI: 61"""
14-30-20.702000,"""COUNT 1 0"
14-30-20.703000,[0] 0 0
14-30-20.704000,[1] 0 0
14-30-20.705000,""""
14-30-20.705000,"""type 4, info: sync"""
14-30-20.708000,"""Sensor: 2. RSSI: 68"""
14-30-20.709000,"""COUNT 0 1"
14-30-20.710000,[0] 0 0
14-30-20.711000,[1] 0 0
14-30-20.711000,""""
14-30-20.713000,"""type 4, info: sync"""
14-30-20.715000,"""Sensor: 1. RSSI: 60"""
14-30-20.717000,"""COUNT 1 0"
14-30-20.719000,[0] 0 0
14-30-20.720000,[1] 0 0
14-30-20.720000,""""
14-30-20.721000,"""type 4, info: sync"""
14-30-20.721000,"""Sensor: 2. RSSI: 68"""
14-30-20.722000,"""Sensor: 1. RSSI: 60"""
14-30-20.725000,"""COUNT 1 1"
14-30-20.726000,[0] 0 0
14-30-20.727000,[1] 0 0
14-30-20.727000,""""
14-30-20.729000,"""type 4, info: sync"""
14-30-20.730000,"""Sensor: 1. RSSI: 60"""
14-30-20.731000,"""Sensor: 2. RSSI: 68"""
14-30-20.733000,"""COUNT 1 1"
14-30-20.735000,[0] 0 0
14-30-20.735000,[1] 0 0
14-30-20.736000,""""
14-30-20.736000,"""type 4, info: sync"""
14-30-20.742000,"""Sensor: 1. RSSI: 61"""
14-30-20.747000,"""COUNT 1 0"
14-30-20.755000,[0] 0 0
14-30-20.756000,[1] 0 0
14-30-20.756000,""""
14-30-20.756000,"""type 4, info: sync"""
14-30-20.757000,"""Sensor: 2. RSSI: 68"""
14-30-20.757000,"""COUNT 0 1"
14-30-20.758000,[0] 0 0
14-30-20.759000,[1] 0 0
14-30-20.760000,""""
14-30-20.764000,"""type 4, info: sync"""
14-30-20.764000,"""Sensor: 1. RSSI: 60"""
14-30-20.765000,"""COUNT 1 0"
14-30-20.769000,[0] 0 0
14-30-20.769000,[1] 0 0
14-30-20.771000,""""
14-30-20.771000,"""type 4, info: sync"""
14-30-20.784000,"""Sensor: 2. RSSI: 68"""
14-30-20.786000,"""Sensor: 1. RSSI: 61"""
14-30-20.788000,"""COUNT 1 1"
