20-01-50.037000,--------------------------------
20-01-53.653000,S 1 	RSSI: 46
20-01-53.661000,S 1 	RSSI: 46
20-01-53.669000,S 1 	RSSI: 46
20-01-53.678000,S 1 	RSSI: 46
20-01-53.706000,S 1 	RSSI: 46
20-01-53.715000,[R]: 20 
20-01-53.718000,[R]: 1 
20-01-53.723000,S 1 	RSSI: 46
20-01-53.724000,[R]: 2 
20-01-53.726000,[R]: 50 
20-01-53.739000,[R]: 1 
20-01-53.742000,S 1 	RSSI: 46
20-01-53.747000,[R]: 2 
20-01-53.771000,[R]: 50 
20-01-53.784000,[R]: 1 
20-01-53.799000,S 1 	RSSI: 46
20-01-53.800000,[R]: 2 
20-01-53.800000,[R]: 50 
20-01-53.803000,[R]: 1 
20-01-53.803000,S 1 	RSSI: 46
20-01-53.826000,[R]: 2 
20-01-53.834000,[R]: 50 
20-01-53.834000,[R]: 1 
20-01-53.835000,S 1 	RSSI: 46
20-01-53.835000,[R]: 2 
20-01-53.836000,[R]: 50 
20-01-53.836000,[R]: 1 
20-01-53.837000,S 1 	RSSI: 46
20-01-53.843000,[R]: 2 
20-01-53.855000,[R]: 50 
20-01-53.856000,[R]: 1 
20-01-53.857000,S 1 	RSSI: 46
20-01-53.857000,[R]: 2 
20-01-53.865000,[R]: 50 
20-01-53.866000,[R]: 1 
20-01-53.867000,S 1 	RSSI: 46
20-01-53.867000,[R]: 2 
20-01-53.868000,[R]: 50 
20-01-53.870000,[R]: 1 
20-01-53.871000,S 1 	RSSI: 46
20-01-53.872000,[R]: 2 
20-01-53.886000,[R]: 50 
20-01-53.892000,[R]: 1 
20-01-53.901000,S 1 	RSSI: 46
20-01-53.901000,[R]: 2 
20-01-53.907000,[R]: 50 
20-01-53.907000,[R]: 1 
20-01-53.912000,S 1 	RSSI: 46
20-01-53.918000,[R]: 2 
20-01-53.926000,[R]: 50 
20-01-53.933000,[R]: 1 
20-01-53.933000,S 1 	RSSI: 46
20-01-53.934000,[R]: 2 
20-01-53.946000,[R]: 50 
20-01-53.947000,[R]: 20 
20-01-53.948000,[R]: 1 
20-01-53.949000,S 1 	RSSI: 46
20-01-53.987000,[R]: 2 
20-01-53.987000,[R]: 50 
20-01-54.028000,[R]: 1 
20-01-54.028000,S 1 	RSSI: 46
20-01-54.031000,[R]: 2 
20-01-54.040000,[R]: 50 
20-01-54.040000,[R]: 1 
20-01-54.051000,S 1 	RSSI: 46
20-01-54.055000,[R]: 2 
20-01-54.056000,[R]: 50 
20-01-54.061000,[R]: 1 
20-01-54.062000,S 1 	RSSI: 46
20-01-54.074000,[R]: 2 
20-01-54.079000,[R]: 50 
20-01-54.108000,[R]: 1 
20-01-54.110000,S 1 	RSSI: 46
20-01-54.135000,[R]: 2 
20-01-54.227000,[R]: 50 
20-01-54.397000,[R]: 1 
20-01-54.398000,S 1 	RSSI: 46
20-01-54.398000,[R]: 2 
20-01-54.399000,[R]: 50 
20-01-54.403000,[R]: 20 
20-01-54.404000,[R]: 1 
20-01-54.406000,S 1 	RSSI: 46
20-01-54.406000,[R]: 2 
20-01-54.407000,[R]: 50 
20-01-54.407000,[R]: 1 
20-01-54.411000,S 1 	RSSI: 46
20-01-54.418000,[R]: 2 
20-01-54.429000,[R]: 50 
20-01-54.439000,[R]: 1 
20-01-54.451000,S 1 	RSSI: 46
20-01-54.451000,[R]: 2 
20-01-54.452000,[R]: 50 
20-01-54.477000,[R]: 1 
20-01-54.477000,S 1 	RSSI: 46
20-01-54.478000,[R]: 2 
20-01-54.478000,[R]: 50 
