20-03-50.643000,-------------------------
20-03-53.200000,[R]: 20 
20-03-53.215000,[R]: 1 
20-03-53.216000,[R]: 50 
20-03-53.218000,[R]: 2 
20-03-53.220000,[R]: 1 
20-03-53.221000,[R]: 50 
20-03-53.221000,[R]: 2 
20-03-53.222000,[R]: 1 
20-03-53.223000,[R]: 50 
20-03-53.250000,[R]: 2 
20-03-53.260000,[R]: 1 
20-03-53.260000,[R]: 50 
20-03-53.261000,[R]: 2 
20-03-53.261000,[R]: 1 
20-03-53.263000,[R]: 50 
20-03-53.263000,[R]: 2 
20-03-53.263000,[R]: 1 
20-03-53.264000,[R]: 50 
20-03-53.300000,[R]: 2 
20-03-53.300000,[R]: 20 
20-03-53.301000,[R]: 1 
20-03-53.314000,[R]: 50 
20-03-53.327000,[R]: 2 
20-03-53.328000,S 2 	RSSI: 46
20-03-53.331000,[R]: 1 
20-03-53.339000,[R]: 50 
20-03-53.345000,[R]: 2 
20-03-53.347000,S 2 	RSSI: 46
20-03-53.356000,[R]: 1 
20-03-53.369000,[R]: 50 
20-03-53.373000,[R]: 2 
20-03-53.386000,S 2 	RSSI: 46
20-03-53.402000,[R]: 1 
20-03-53.403000,[R]: 50 
20-03-53.403000,[R]: 2 
20-03-53.414000,[R]: 1 
20-03-53.418000,[R]: 50 
20-03-53.419000,S 2 	RSSI: 46
20-03-53.420000,[R]: 2 
20-03-53.421000,[R]: 1 
20-03-53.423000,[R]: 50 
20-03-53.427000,S 2 	RSSI: 47
20-03-53.428000,[R]: 2 
20-03-53.429000,[R]: 20 
20-03-53.430000,[R]: 1 
20-03-53.431000,[R]: 50 
20-03-53.432000,[R]: 2 
20-03-53.462000,S 2 	RSSI: 46
20-03-53.485000,[R]: 1 
20-03-53.485000,[R]: 50 
20-03-53.499000,[R]: 2 
20-03-53.545000,S 2 	RSSI: 46
20-03-53.546000,[R]: 1 
20-03-53.546000,[R]: 50 
20-03-53.546000,[R]: 2 
20-03-53.607000,[R]: 1 
20-03-53.617000,[R]: 50 
20-03-53.629000,[R]: 2 
20-03-53.641000,[R]: 1 
20-03-53.819000,[R]: 50 
20-03-53.862000,[R]: 2 
20-03-53.863000,[R]: 1 
20-03-53.864000,[R]: 50 
20-03-53.864000,[R]: 2 
20-03-53.865000,[R]: 20 
20-03-53.865000,[R]: 1 
20-03-53.866000,[R]: 50 
20-03-53.866000,[R]: 2 
20-03-53.868000,[R]: 1 
20-03-53.870000,[R]: 50 
20-03-53.878000,[R]: 2 
20-03-53.879000,[R]: 1 
20-03-53.887000,[R]: 50 
20-03-53.890000,[R]: 2 
20-03-53.893000,[R]: 1 
20-03-53.899000,[R]: 50 
20-03-53.946000,[R]: 2 
20-03-53.947000,[R]: 1 
20-03-53.947000,[R]: 50 
20-03-53.948000,[R]: 2 
20-03-53.969000,[R]: 1 
20-03-53.970000,[R]: 50 
20-03-53.970000,[R]: 2 
20-03-53.971000,[R]: 1 
20-03-53.979000,[R]: 50 
20-03-53.980000,[R]: 2 
20-03-53.980000,[R]: 1 
20-03-53.982000,[R]: 50 
20-03-53.982000,[R]: 2 
20-03-53.987000,[R]: 1 
20-03-53.988000,[R]: 50 
20-03-53.989000,[R]: 20 
20-03-53.989000,[R]: 1 
20-03-53.993000,[R]: 50 
20-03-53.993000,[R]: 2 
20-03-53.993000,[R]: 1 
20-03-53.994000,[R]: 50 
20-03-53.994000,[R]: 2 
20-03-53.997000,[R]: 1 
20-03-53.997000,[R]: 50 
20-03-53.998000,[R]: 2 
20-03-53.998000,[R]: 1 
20-03-54.000000,[R]: 50 
20-03-54.000000,[R]: 2 
20-03-54.002000,[R]: 1 
20-03-54.002000,[R]: 50 
20-03-54.003000,[R]: 2 
20-03-54.003000,[R]: 1 
