20-47-44.849000,"ÿ""Scanner enabled\r\n"""
20-48-05.312000,"""type 5, info: ---a_new_sensor_enters---"""
20-48-15.939000,"""type 4, info: ---a_new_sensor_enters---"""
20-48-32.326000,"""type 3, info: ---a_new_sensor_enters---"""
20-48-36.420000,"""type 2, info: ---a_new_sensor_enters---"""
20-48-37.977000,"""type 1, info: ---a_new_sensor_enters---"""
20-48-37.999000,"""COUNT 0 0 0 0 0"
20-48-38.001000,[0] 0 0 0 0 0
20-48-38.001000,[1] 0 0 0 0 0
20-48-38.002000,[2] 0 0 0 0 0
20-48-38.015000,[3] 0 0 0 0 0
20-48-38.019000,""""
20-48-38.020000,"""Sensor: 1. RSSI: 58"""
20-48-38.023000,"""COUNT 1 0 0 0 0"
20-48-38.026000,[0] 0 0 0 0 0
20-48-38.030000,[1] 0 0 0 0 0
20-48-38.031000,[2] 0 0 0 0 0
20-48-38.031000,[3] 0 0 0 0 0
20-48-38.031000,""""
20-48-38.032000,"""Sensor: 1. RSSI: 58"""
20-48-38.032000,"""Sensor: 2. RSSI: 62"""
20-48-38.046000,"""Sensor: 1. RSSI: 58"""
20-48-38.050000,"""COUNT 2 1 0 0 0"
20-48-38.051000,[0] 0 0 0 0 0
20-48-38.052000,[1] 48 0 0 0 0
20-48-38.053000,[2] 0 0 0 0 0
20-48-38.053000,[3] 0 0 0 0 0
20-48-38.054000,""""
20-48-38.054000,"""Sensor: 2. RSSI: 62"""
20-48-38.055000,"""Sensor: 1. RSSI: 58"""
20-48-38.070000,"""Sensor: 2. RSSI: 62"""
20-48-38.071000,"""Sensor: 1. RSSI: 58"""
20-48-38.075000,"""COUNT 2 2 0 0 0"
20-48-38.076000,[0] 0 0 0 0 0
20-48-38.077000,[1] 47 0 0 0 0
20-48-38.077000,[2] 0 0 0 0 0
20-48-38.078000,[3] 0 0 0 0 0
20-48-38.079000,""""
20-48-38.080000,"""Sensor: 1. RSSI: 58"""
20-48-38.083000,"""Sensor: 3. RSSI: 71"""
20-48-38.088000,"""Sensor: 4. RSSI: 56"""
20-48-38.090000,"""Sensor: 2. RSSI: 62"""
20-48-38.092000,"""Sensor: 5. RSSI: 55"""
20-48-38.101000,"""COUNT 1 1 1 1 1"
20-48-38.101000,[0] 0 0 0 0 0
20-48-38.102000,[1] 47 0 0 0 0
20-48-38.103000,[2] 0 0 0 62 65
20-48-38.104000,[3] 0 0 0 0 44
20-48-38.104000,""""
20-48-38.105000,"""Sensor: 1. RSSI: 58"""
20-48-38.108000,"""Sensor: 3. RSSI: 70"""
20-48-38.111000,"""Sensor: 2. RSSI: 62"""
20-48-38.112000,"""Sensor: 4. RSSI: 56"""
20-48-38.116000,"""Sensor: 5. RSSI: 55"""
20-48-38.126000,"""COUNT 1 1 1 1 1"
20-48-38.127000,[0] 0 0 0 0 0
20-48-38.127000,[1] 0 0 0 0 0
20-48-38.128000,[2] 56 0 0 60 65
20-48-38.130000,[3] 52 0 0 0 0
20-48-38.131000,""""
20-48-38.131000,"""Sensor: 1. RSSI: 58"""
20-48-38.132000,"""Sensor: 2. RSSI: 62"""
20-48-38.133000,"""Sensor: 3. RSSI: 71"""
20-48-38.137000,"""Sensor: 4. RSSI: 56"""
20-48-38.141000,"""Sensor: 5. RSSI: 55"""
20-48-38.146000,"""Sensor: 1. RSSI: 58"""
20-48-38.152000,"""COUNT 2 1 1 1 1"
20-48-38.153000,[0] 0 0 0 0 0
20-48-38.153000,[1] 0 0 0 0 0
20-48-38.154000,[2] 57 0 0 60 65
20-48-38.156000,[3] 52 0 56 0 0
20-48-38.157000,""""
20-48-38.157000,"""Sensor: 1. RSSI: 58"""
20-48-38.158000,"""Sensor: 2. RSSI: 62"""
20-48-38.159000,"""Sensor: 3. RSSI: 70"""
20-48-38.161000,"""Sensor: 4. RSSI: 56"""
20-48-38.165000,"""Sensor: 5. RSSI: 55"""
20-48-38.170000,"""Sensor: 1. RSSI: 58"""
20-48-38.176000,"""COUNT 2 1 1 1 1"
20-48-38.177000,[0] 0 0 0 0 0
20-48-38.177000,[1] 0 0 0 0 0
20-48-38.178000,[2] 57 0 0 0 0
20-48-38.179000,[3] 52 0 56 0 0
20-48-38.180000,""""
20-48-38.181000,"""Sensor: 3. RSSI: 71"""
20-48-38.182000,"""Sensor: 4. RSSI: 56"""
20-48-38.186000,"""Sensor: 5. RSSI: 55"""
20-48-38.191000,"""Sensor: 1. RSSI: 58"""
20-48-38.192000,"""Sensor: 2. RSSI: 62"""
20-48-38.201000,"""COUNT 1 1 1 1 1"
20-48-38.202000,[0] 0 0 0 0 0
20-48-38.202000,[1] 0 0 0 0 0
20-48-38.203000,[2] 57 0 0 0 0
20-48-38.204000,[3] 52 0 56 0 0
20-48-38.204000,""""
20-48-38.206000,"""Sensor: 3. RSSI: 71"""
20-48-38.207000,"""Sensor: 4. RSSI: 57"""
20-48-38.208000,"""Sensor: 2. RSSI: 62"""
20-48-38.211000,"""Sensor: 5. RSSI: 55"""
20-48-38.213000,"""Sensor: 1. RSSI: 58"""
20-48-38.219000,"""Sensor: 3. RSSI: 70"""
20-48-38.224000,"""COUNT 1 1 2 1 1"
20-48-38.225000,[0] 0 48 0 0 0
20-48-38.226000,[1] 0 0 0 0 0
20-48-38.227000,[2] 0 0 0 0 0
20-48-38.228000,[3] 0 0 56 0 0
20-48-38.228000,""""
20-48-38.229000,"""Sensor: 4. RSSI: 56"""
20-48-38.230000,"""Sensor: 1. RSSI: 58"""
20-48-38.232000,"""Sensor: 5. RSSI: 55"""
20-48-38.233000,"""Sensor: 2. RSSI: 62"""
20-48-38.238000,"""Sensor: 3. RSSI: 71"""
20-48-38.242000,"""Sensor: 4. RSSI: 56"""
20-48-38.249000,"""COUNT 1 1 1 2 1"
20-48-38.250000,[0] 0 0 0 0 0
20-48-38.251000,[1] 47 0 0 0 0
20-48-38.252000,[2] 0 0 0 0 0
20-48-38.253000,[3] 0 0 56 0 0
20-48-38.253000,""""
20-48-38.254000,"""Sensor: 5. RSSI: 55"""
20-48-38.256000,"""Sensor: 1. RSSI: 58"""
20-48-38.257000,"""Sensor: 2. RSSI: 62"""
20-48-38.259000,"""Sensor: 3. RSSI: 71"""
20-48-38.263000,"""Sensor: 4. RSSI: 56"""
20-48-38.267000,"""Sensor: 5. RSSI: 55"""
20-48-38.274000,"""COUNT 1 1 1 1 2"
20-48-38.276000,[0] 0 0 0 0 0
20-48-38.276000,[1] 47 0 0 0 0
20-48-38.277000,[2] 0 0 0 0 0
20-48-38.278000,[3] 0 0 56 0 0
20-48-38.279000,""""
20-48-38.279000,"""Sensor: 2. RSSI: 62"""
20-48-38.280000,"""Sensor: 3. RSSI: 71"""
20-48-38.283000,"""Sensor: 4. RSSI: 56"""
20-48-38.287000,"""Sensor: 5. RSSI: 55"""
20-48-38.292000,"""Sensor: 1. RSSI: 58"""
20-48-38.300000,"""COUNT 1 1 1 1 1"
20-48-38.300000,[0] 0 0 55 0 0
20-48-38.301000,[1] 0 0 0 0 0
20-48-38.302000,[2] 0 0 0 0 0
20-48-38.303000,[3] 52 0 56 0 0
20-48-38.303000,""""
20-48-38.305000,"""Sensor: 1. RSSI: 58"""
20-48-38.308000,"""Sensor: 3. RSSI: 71"""
20-48-38.312000,"""Sensor: 4. RSSI: 56"""
20-48-38.314000,"""Sensor: 2. RSSI: 62"""
20-48-38.316000,"""Sensor: 5. RSSI: 55"""
20-48-38.325000,"""COUNT 1 1 1 1 1"
20-48-38.326000,[0] 0 0 0 0 0
20-48-38.326000,[1] 0 0 0 0 0
20-48-38.327000,[2] 57 0 0 0 0
20-48-38.328000,[3] 52 0 56 0 0
20-48-38.328000,""""
20-48-38.329000,"""Sensor: 3. RSSI: 71"""
20-48-38.332000,"""Sensor: 4. RSSI: 56"""
20-48-38.337000,"""Sensor: 5. RSSI: 55"""
20-48-38.342000,"""Sensor: 1. RSSI: 58"""
20-48-38.352000,"""COUNT 1 0 1 1 1"
20-48-38.356000,[0] 0 0 0 0 0
20-48-38.356000,[1] 0 0 0 0 0
20-48-38.357000,[2] 57 0 0 0 0
20-48-38.357000,[3] 52 0 56 0 0
20-48-38.358000,""""
20-48-38.358000,"""Sensor: 1. RSSI: 58"""
20-48-38.359000,"""Sensor: 2. RSSI: 62"""
20-48-38.361000,"""Sensor: 3. RSSI: 71"""
20-48-38.362000,"""Sensor: 4. RSSI: 56"""
20-48-38.366000,"""Sensor: 5. RSSI: 55"""
20-48-38.376000,"""COUNT 1 1 1 1 1"
20-48-38.377000,[0] 0 0 0 0 0
20-48-38.378000,[1] 0 0 0 0 0
20-48-38.378000,[2] 57 0 0 0 0
20-48-38.379000,[3] 52 0 56 0 0
20-48-38.379000,""""
20-48-38.381000,"""Sensor: 1. RSSI: 58"""
20-48-38.388000,"""Sensor: 2. RSSI: 62"""
20-48-38.390000,"""Sensor: 4. RSSI: 56"""
20-48-38.391000,"""Sensor: 5. RSSI: 55"""
20-48-38.544000,"""Sensor: 1. RSSI: 58"""
20-48-38.708000,"""COUNT 2 1 0 1 1"
20-48-38.709000,[0] 0 0 0 0 0
20-48-38.709000,[1] 0 0 0 0 0
20-48-38.710000,[2] 0 0 0 0 0
20-48-38.710000,[3] 52 0 0 0 0
20-48-38.711000,""""
20-48-38.711000,"""Sensor: 4. RSSI: 57"""
20-48-38.712000,"""Sensor: 5. RSSI: 55"""
20-48-38.712000,"""Sensor: 1. RSSI: 58"""
20-48-38.712000,"""Sensor: 2. RSSI: 62"""
20-48-38.713000,"""COUNT 1 1 0 1 1"
20-48-38.713000,[0] 0 0 0 0 0
20-48-38.714000,[1] 0 0 0 0 0
20-48-38.715000,[2] 0 0 0 0 0
20-48-38.715000,[3] 52 0 0 0 0
20-48-38.719000,""""
20-48-38.719000,"""Sensor: 4. RSSI: 56"""
20-48-38.723000,"""Sensor: 1. RSSI: 58"""
20-48-38.723000,"""Sensor: 5. RSSI: 55"""
20-48-38.724000,"""Sensor: 2. RSSI: 62"""
20-48-38.724000,"""Sensor: 4. RSSI: 56"""
20-48-38.725000,"""COUNT 1 1 0 2 1"
20-48-38.727000,[0] 0 0 0 0 0
20-48-38.727000,[1] 47 0 0 0 0
20-48-38.732000,[2] 0 0 0 0 0
20-48-38.733000,[3] 0 0 0 0 0
20-48-38.734000,""""
20-48-38.734000,"""Sensor: 1. RSSI: 58"""
20-48-38.735000,"""Sensor: 2. RSSI: 62"""
20-48-38.739000,"""Sensor: 4. RSSI: 56"""
20-48-38.740000,"""Sensor: 5. RSSI: 55"""
20-48-38.740000,"""COUNT 1 1 0 1 1"
20-48-38.741000,[0] 0 0 0 0 54
20-48-38.741000,[1] 47 0 0 0 0
20-48-38.742000,[2] 0 0 0 0 0
20-48-38.742000,[3] 0 0 0 0 0
20-48-38.743000,""""
20-48-38.743000,"""Sensor: 1. RSSI: 58"""
20-48-38.743000,"""Sensor: 2. RSSI: 62"""
20-48-38.744000,"""Sensor: 4. RSSI: 57"""
20-48-38.745000,"""Sensor: 5. RSSI: 55"""
20-48-38.745000,"""Sensor: 1. RSSI: 58"""
20-48-38.746000,"""COUNT 2 1 0 1 1"
20-48-38.747000,[0] 0 0 0 0 0
20-48-38.747000,[1] 0 0 0 0 0
20-48-38.753000,[2] 0 0 0 0 0
20-48-38.754000,[3] 51 0 0 0 0
20-48-38.754000,""""
20-48-38.755000,"""Sensor: 2. RSSI: 62"""
20-48-38.755000,"""Sensor: 4. RSSI: 56"""
20-48-38.756000,"""Sensor: 5. RSSI: 55"""
20-48-38.757000,"""Sensor: 1. RSSI: 58"""
20-48-38.757000,"""COUNT 1 1 0 1 1"
20-48-38.758000,[0] 0 0 0 0 0
20-48-38.759000,[1] 0 0 0 0 0
20-48-38.761000,[2] 0 0 0 0 0
20-48-38.761000,[3] 51 0 0 0 0
20-48-38.762000,""""
20-48-38.762000,"""Sensor: 2. RSSI: 62"""
20-48-38.762000,"""Sensor: 1. RSSI: 58"""
20-48-38.763000,"""Sensor: 3. RSSI: 71"""
20-48-38.763000,"""Sensor: 4. RSSI: 56"""
20-48-38.764000,"""Sensor: 5. RSSI: 55"""
20-48-38.764000,"""Sensor: 2. RSSI: 62"""
20-48-38.764000,"""COUNT 1 2 1 1 1"
20-48-38.765000,[0] 0 0 0 0 0
20-48-38.765000,[1] 0 0 0 0 0
20-48-38.766000,[2] 57 0 0 0 0
20-48-38.767000,[3] 51 0 55 0 0
20-48-38.767000,""""
20-48-38.768000,"""Sensor: 3. RSSI: 71"""
20-48-38.768000,"""Sensor: 4. RSSI: 56"""
20-48-38.769000,"""Sensor: 5. RSSI: 55"""
20-48-38.769000,"""Sensor: 2. RSSI: 62"""
20-48-38.770000,"""Sensor: 1. RSSI: 58"""
20-48-38.776000,"""COUNT 1 1 1 1 1"
20-48-38.777000,[0] 0 0 0 0 0
20-48-38.778000,[1] 0 0 0 0 0
20-48-38.778000,[2] 57 0 0 0 0
20-48-38.779000,[3] 0 0 55 0 0
20-48-38.780000,""""
20-48-38.780000,"""Sensor: 1. RSSI: 58"""
20-48-38.780000,"""Sensor: 3. RSSI: 71"""
20-48-38.781000,"""Sensor: 2. RSSI: 62"""
