20-52-52.014000,[R]: 51 
20-52-52.493000,[R]: 51 
20-52-52.973000,[R]: 51 
20-52-53.450000,[R]: 51 
20-52-53.929000,[R]: 51 
20-52-54.408000,[R]: 51 
20-52-54.885000,[R]: 51 
20-52-55.365000,[R]: 51 
20-52-55.844000,[R]: 51 
20-52-56.322000,[R]: 51 
20-52-56.801000,[R]: 51 
20-52-57.279000,[R]: 51 
20-52-57.759000,[R]: 51 
20-52-58.236000,[R]: 51 
20-52-58.715000,[R]: 51 
20-52-59.195000,[R]: 51 
20-52-59.674000,[R]: 51 
20-53-00.152000,[R]: 51 
20-53-00.631000,[R]: 51 
20-53-01.110000,[R]: 51 
20-53-01.589000,[R]: 51 
20-53-02.069000,[R]: 51 
20-53-02.548000,[R]: 51 
20-53-03.027000,[R]: 51 
20-53-03.505000,[R]: 51 
20-53-03.984000,[R]: 51 
20-53-04.464000,[R]: 51 
20-53-04.945000,[R]: 51 
20-53-05.422000,[R]: 51 
20-53-05.901000,[R]: 51 
20-53-06.094000,S 1 	RSSI: 58
20-53-06.380000,[R]: 51 
20-53-06.858000,[R]: 51 
20-53-07.337000,[R]: 51 
20-53-07.817000,[R]: 51 
20-53-07.997000,S 1 	RSSI: 58
20-53-08.295000,[R]: 51 
20-53-08.773000,[R]: 51 
20-53-09.252000,[R]: 51 
20-53-09.731000,[R]: 51 
20-53-10.209000,[R]: 51 
20-53-10.689000,[R]: 51 
20-53-11.167000,[R]: 51 
20-53-11.646000,[R]: 51 
20-53-11.802000,S 1 	RSSI: 57
20-53-12.124000,[R]: 51 
20-53-12.603000,[R]: 51 
20-53-12.756000,S 1 	RSSI: 57
20-53-13.082000,[R]: 51 
20-53-13.566000,[R]: 51 
20-53-13.626000,S 1 	RSSI: 56
20-53-13.629000,[R]: 51 
20-53-14.109000,[R]: 51 
20-53-14.587000,[R]: 51 
20-53-14.592000,S 1 	RSSI: 54
20-53-15.065000,[R]: 51 
20-53-15.074000,S 1 	RSSI: 56
20-53-15.545000,[R]: 51 
20-53-15.558000,S 1 	RSSI: 56
20-53-16.024000,[R]: 51 
20-53-16.042000,S 1 	RSSI: 56
20-53-16.502000,[R]: 51 
20-53-16.523000,S 1 	RSSI: 57
20-53-16.980000,[R]: 51 
20-53-17.006000,S 1 	RSSI: 57
20-53-17.459000,[R]: 51 
20-53-17.489000,S 1 	RSSI: 57
20-53-17.938000,[R]: 51 
20-53-17.973000,S 1 	RSSI: 56
20-53-18.417000,[R]: 51 
20-53-18.453000,S 1 	RSSI: 56
20-53-18.895000,[R]: 51 
20-53-19.374000,[R]: 51 
20-53-19.852000,[R]: 51 
20-53-19.900000,S 1 	RSSI: 56
20-53-20.331000,[R]: 51 
20-53-20.382000,S 1 	RSSI: 56
20-53-20.810000,[R]: 51 
20-53-20.864000,S 1 	RSSI: 56
20-53-21.289000,[R]: 51 
20-53-21.347000,S 1 	RSSI: 68
20-53-21.768000,[R]: 51 
20-53-22.246000,[R]: 51 
20-53-22.725000,[R]: 51 
20-53-22.792000,S 1 	RSSI: 60
20-53-23.204000,[R]: 51 
20-53-23.682000,[R]: 51 
20-53-23.858000,[R]: 51 
20-53-23.880000,S 1 	RSSI: 58
20-53-23.883000,[R]: 51 
20-53-24.388000,[R]: 51 
20-53-24.865000,[R]: 51 
20-53-25.343000,[R]: 51 
20-53-25.348000,S 1 	RSSI: 58
20-53-25.822000,[R]: 51 
20-53-25.831000,S 1 	RSSI: 58
20-53-26.300000,[R]: 51 
20-53-26.313000,S 1 	RSSI: 58
20-53-26.779000,[R]: 51 
20-53-26.797000,S 1 	RSSI: 58
20-53-27.258000,[R]: 51 
20-53-27.280000,S 1 	RSSI: 58
20-53-27.737000,[R]: 51 
20-53-28.215000,[R]: 51 
20-53-28.697000,[R]: 51 
20-53-28.726000,S 1 	RSSI: 58
20-53-29.174000,[R]: 51 
20-53-29.207000,S 1 	RSSI: 57
20-53-29.651000,[R]: 51 
20-53-29.690000,S 1 	RSSI: 58
20-53-30.130000,[R]: 51 
20-53-30.289000,S 1 	RSSI: 57
20-53-30.610000,[R]: 51 
20-53-30.771000,S 1 	RSSI: 57
20-53-31.089000,[R]: 51 
20-53-31.254000,S 1 	RSSI: 58
20-53-31.567000,[R]: 51 
20-53-31.737000,S 1 	RSSI: 57
20-53-32.052000,[R]: 51 
20-53-32.220000,S 1 	RSSI: 58
20-53-32.526000,[R]: 51 
20-53-32.703000,S 1 	RSSI: 57
20-53-33.004000,[R]: 51 
20-53-33.186000,S 1 	RSSI: 58
20-53-33.483000,[R]: 51 
20-53-33.962000,[R]: 51 
20-53-34.442000,[R]: 51 
20-53-34.920000,[R]: 51 
20-53-35.113000,S 1 	RSSI: 55
20-53-35.398000,[R]: 51 
20-53-35.877000,[R]: 51 
20-53-36.356000,[R]: 51 
20-53-36.834000,[R]: 51 
20-53-37.041000,S 1 	RSSI: 56
20-53-37.313000,[R]: 51 
20-53-37.792000,[R]: 51 
20-53-38.271000,[R]: 51 
20-53-38.486000,S 1 	RSSI: 57
20-53-38.750000,[R]: 51 
20-53-39.229000,[R]: 51 
20-53-39.708000,[R]: 51 
20-53-40.186000,[R]: 51 
20-53-40.414000,S 1 	RSSI: 72
20-53-40.666000,[R]: 51 
20-53-41.144000,[R]: 51 
20-53-41.623000,[R]: 51 
20-53-42.101000,[R]: 51 
20-53-42.580000,[R]: 51 
20-53-42.637000,[R]: 51 
20-53-43.305000,S 1 	RSSI: 61
20-53-43.582000,[R]: 51 
20-53-44.527000,[R]: 51 
20-53-45.473000,[R]: 51 
20-53-46.417000,[R]: 51 
20-53-46.677000,S 1 	RSSI: 58
20-53-47.363000,[R]: 51 
20-53-48.308000,[R]: 51 
20-53-48.604000,S 1 	RSSI: 59
20-53-49.253000,[R]: 51 
20-53-49.572000,[R]: 51 
20-53-50.050000,[R]: 51 
20-53-50.529000,[R]: 51 
20-53-50.534000,S 1 	RSSI: 58
20-53-51.008000,[R]: 51 
20-53-51.017000,S 1 	RSSI: 63
20-53-51.486000,[R]: 51 
20-53-51.965000,[R]: 51 
20-53-51.982000,S 1 	RSSI: 58
20-53-52.444000,[R]: 51 
20-53-52.465000,S 1 	RSSI: 56
20-53-52.922000,[R]: 51 
20-53-52.948000,S 1 	RSSI: 53
20-53-53.225000,[R]: 51 
20-53-53.704000,[R]: 51 
20-53-53.707000,S 4 	RSSI: 44
20-53-54.184000,[R]: 51 
20-53-54.185000,S 4 	RSSI: 44
20-53-54.663000,[R]: 51 
20-53-54.923000,[R]: 51 
20-53-54.933000,S 4 	RSSI: 44
20-53-55.402000,[R]: 51 
20-53-55.411000,S 4 	RSSI: 44
20-53-55.421000,S 1 	RSSI: 55
20-53-55.881000,[R]: 51 
20-53-55.903000,S 1 	RSSI: 55
20-53-56.360000,[R]: 51 
20-53-56.385000,S 1 	RSSI: 55
20-53-56.839000,[R]: 51 
20-53-56.868000,S 1 	RSSI: 55
20-53-57.317000,[R]: 51 
