21-21-06.158000,----------------
21-21-06.159000,[R]: 0 
21-21-06.160000,[R]: 50 
21-21-06.161000,[R]: 50 
21-21-06.162000,[R]: 50 
21-21-06.162000,[R]: 0 
21-21-06.163000,[R]: 50 
21-21-06.164000,[R]: 0 
21-21-06.165000,[R]: 50 
21-21-06.166000,[R]: 50 
21-21-06.166000,[R]: 50 
21-21-06.170000,[R]: 0 
21-21-06.171000,[R]: 50 
21-21-06.171000,[R]: 50 
21-21-06.343000,[R]: 50 
21-21-06.579000,[R]: 0 
21-21-06.588000,[R]: 50 
21-21-07.365000,[R]: 50 
21-21-08.143000,[R]: 50 
21-21-08.920000,[R]: 50 
21-21-09.698000,[R]: 50 
21-21-10.475000,[R]: 50 
21-21-11.252000,[R]: 50 
21-21-12.020000,S 1 	RSSI: 51
21-21-12.030000,[R]: 50 
21-21-12.809000,[R]: 50 
21-21-13.586000,[R]: 50 
21-21-13.774000,[R]: 0 
21-21-13.781000,[R]: 50 
21-21-14.559000,[R]: 50 
21-21-15.149000,S 1 	RSSI: 48
21-21-15.337000,[R]: 50 
21-21-15.623000,[R]: 0 
21-21-15.631000,[R]: 50 
21-21-16.408000,[R]: 50 
21-21-17.186000,[R]: 50 
21-21-17.963000,[R]: 50 
21-21-18.740000,[R]: 50 
21-21-19.231000,[R]: 0 
21-21-19.239000,[R]: 50 
21-21-19.713000,[R]: 0 
21-21-19.722000,[R]: 50 
21-21-20.455000,[R]: 0 
21-21-20.459000,S 1 	RSSI: 47
21-21-20.462000,[R]: 50 
21-21-20.721000,[R]: 0 
21-21-20.729000,[R]: 50 
21-21-20.951000,[R]: 0 
21-21-20.959000,[R]: 50 
21-21-20.996000,S 1 	RSSI: 48
21-21-21.020000,[R]: 0 
21-21-21.027000,[R]: 50 
21-21-21.805000,[R]: 50 
21-21-22.583000,[R]: 50 
21-21-23.359000,[R]: 50 
21-21-23.590000,S 1 	RSSI: 47
21-21-24.137000,[R]: 50 
21-21-24.579000,[R]: 0 
21-21-24.587000,[R]: 50 
21-21-24.607000,[R]: 0 
21-21-24.616000,[R]: 50 
21-21-25.320000,S 1 	RSSI: 48
21-21-25.393000,[R]: 50 
21-21-26.172000,[R]: 50 
21-21-26.948000,[R]: 50 
21-21-27.051000,S 1 	RSSI: 48
21-21-27.726000,[R]: 50 
21-21-28.502000,[R]: 50 
21-21-29.280000,[R]: 50 
21-21-29.645000,S 1 	RSSI: 48
21-21-30.057000,[R]: 50 
21-21-30.834000,[R]: 50 
21-21-31.375000,S 1 	RSSI: 47
21-21-31.611000,[R]: 50 
21-21-32.240000,S 1 	RSSI: 47
21-21-32.390000,[R]: 50 
21-21-32.915000,S 1 	RSSI: 46
21-21-32.939000,[R]: 0 
21-21-32.946000,[R]: 50 
21-21-32.960000,[R]: 0 
21-21-32.964000,S 1 	RSSI: 46
21-21-32.967000,[R]: 50 
21-21-33.826000,[R]: 50 
21-21-34.684000,[R]: 50 
21-21-34.693000,S 1 	RSSI: 48
21-21-35.544000,[R]: 50 
21-21-35.558000,S 1 	RSSI: 49
21-21-36.404000,[R]: 50 
21-21-37.262000,[R]: 50 
21-21-37.288000,S 1 	RSSI: 48
21-21-38.122000,[R]: 50 
21-21-38.981000,[R]: 50 
21-21-39.840000,[R]: 50 
21-21-40.699000,[R]: 50 
21-21-41.558000,[R]: 50 
21-21-42.418000,[R]: 50 
21-21-42.479000,S 1 	RSSI: 48
21-21-43.107000,S 3 	RSSI: 44
21-21-43.115000,S 1 	RSSI: 48
21-21-43.123000,S 3 	RSSI: 44
21-21-43.277000,[R]: 50 
21-21-43.573000,S 3 	RSSI: 44
21-21-44.023000,S 3 	RSSI: 44
21-21-44.137000,[R]: 50 
21-21-44.326000,S 3 	RSSI: 44
21-21-44.355000,S 4 	RSSI: 45
21-21-44.793000,S 1 	RSSI: 46
21-21-44.805000,S 4 	RSSI: 44
21-21-44.997000,[R]: 50 
21-21-45.103000,S 3 	RSSI: 44
21-21-45.255000,S 4 	RSSI: 44
21-21-45.705000,S 4 	RSSI: 45
21-21-45.855000,[R]: 50 
21-21-45.881000,S 3 	RSSI: 44
21-21-46.659000,S 3 	RSSI: 44
21-21-46.715000,[R]: 50 
21-21-47.436000,S 3 	RSSI: 44
21-21-47.574000,[R]: 50 
21-21-48.214000,S 3 	RSSI: 44
21-21-48.433000,[R]: 50 
21-21-48.876000,S 1 	RSSI: 48
21-21-48.991000,S 3 	RSSI: 44
21-21-49.293000,[R]: 50 
21-21-49.331000,S 1 	RSSI: 48
21-21-49.760000,[R]: 0 
21-21-49.768000,[R]: 50 
21-21-49.769000,S 3 	RSSI: 44
21-21-50.239000,S 1 	RSSI: 48
21-21-50.546000,[R]: 50 
21-21-50.547000,S 3 	RSSI: 44
21-21-50.559000,S 4 	RSSI: 46
21-21-51.145000,S 1 	RSSI: 48
21-21-51.323000,[R]: 50 
21-21-52.101000,[R]: 50 
21-21-52.878000,[R]: 50 
21-21-52.956000,S 1 	RSSI: 48
21-21-53.655000,[R]: 50 
21-21-54.433000,[R]: 50 
21-21-54.769000,S 1 	RSSI: 48
21-21-55.145000,[R]: 0 
21-21-55.152000,[R]: 50 
21-21-55.156000,[R]: 0 
21-21-55.165000,[R]: 50 
21-21-55.211000,S 3 	RSSI: 44
21-21-55.942000,[R]: 50 
21-21-55.988000,S 3 	RSSI: 44
21-21-56.129000,S 1 	RSSI: 48
21-21-56.178000,S 4 	RSSI: 46
21-21-56.720000,[R]: 50 
21-21-56.767000,S 3 	RSSI: 44
21-21-56.955000,S 4 	RSSI: 46
21-21-57.487000,S 1 	RSSI: 48
21-21-57.498000,[R]: 50 
21-21-57.544000,S 3 	RSSI: 44
21-21-58.276000,[R]: 50 
21-21-58.322000,S 3 	RSSI: 44
21-21-59.053000,[R]: 50 
21-21-59.099000,S 3 	RSSI: 44
21-21-59.831000,[R]: 50 
21-21-59.876000,S 3 	RSSI: 44
21-22-00.607000,[R]: 50 
21-22-00.654000,S 3 	RSSI: 44
21-22-00.662000,S 1 	RSSI: 48
21-22-01.385000,[R]: 50 
21-22-01.432000,S 3 	RSSI: 44
21-22-02.162000,[R]: 50 
21-22-02.209000,S 3 	RSSI: 44
21-22-02.340000,S 4 	RSSI: 45
21-22-02.930000,S 1 	RSSI: 48
21-22-02.942000,[R]: 50 
21-22-02.987000,S 3 	RSSI: 44
21-22-03.118000,S 4 	RSSI: 45
21-22-03.718000,[R]: 50 
21-22-03.763000,S 3 	RSSI: 44
21-22-03.895000,S 4 	RSSI: 46
21-22-04.131000,S 4 	RSSI: 46
21-22-04.288000,S 1 	RSSI: 48
21-22-04.496000,[R]: 50 
21-22-04.541000,S 3 	RSSI: 44
21-22-05.272000,[R]: 50 
21-22-05.319000,S 3 	RSSI: 44
21-22-06.049000,[R]: 50 
21-22-06.096000,S 3 	RSSI: 44
21-22-06.555000,S 1 	RSSI: 48
21-22-06.828000,[R]: 50 
21-22-06.874000,S 3 	RSSI: 44
21-22-07.463000,S 1 	RSSI: 48
21-22-07.605000,[R]: 50 
21-22-07.651000,S 3 	RSSI: 44
21-22-08.382000,[R]: 50 
21-22-08.430000,S 3 	RSSI: 44
21-22-08.826000,S 1 	RSSI: 46
21-22-09.160000,[R]: 50 
21-22-09.207000,S 3 	RSSI: 44
21-22-09.281000,S 1 	RSSI: 47
21-22-09.293000,S 4 	RSSI: 51
21-22-09.493000,S 3 	RSSI: 44
21-22-09.938000,[R]: 50 
21-22-10.271000,S 3 	RSSI: 44
21-22-10.639000,S 1 	RSSI: 48
21-22-10.716000,[R]: 50 
21-22-11.048000,S 3 	RSSI: 44
21-22-11.094000,S 1 	RSSI: 48
21-22-11.494000,[R]: 50 
21-22-11.549000,S 1 	RSSI: 48
21-22-11.771000,[R]: 0 
21-22-11.780000,[R]: 50 
21-22-11.785000,S 3 	RSSI: 44
21-22-11.797000,S 1 	RSSI: 48
21-22-11.800000,[R]: 50 
21-22-11.805000,S 3 	RSSI: 44
21-22-11.821000,[R]: 50 
21-22-11.826000,S 3 	RSSI: 44
21-22-11.838000,S 1 	RSSI: 48
21-22-11.841000,[R]: 50 
21-22-11.846000,S 3 	RSSI: 44
21-22-11.847000,[R]: 0 
21-22-11.851000,S 1 	RSSI: 48
21-22-11.854000,[R]: 50 
21-22-11.867000,S 5 	RSSI: 54
21-22-11.871000,S 1 	RSSI: 48
21-22-11.874000,[R]: 50 
21-22-11.892000,S 5 	RSSI: 54
21-22-11.895000,[R]: 50 
21-22-11.900000,S 1 	RSSI: 48
21-22-11.912000,S 5 	RSSI: 54
21-22-11.916000,[R]: 50 
21-22-11.933000,S 5 	RSSI: 54
