21-45-04.871000,------------------------
21-45-04.872000,[R]: 0 
21-45-04.873000,[R]: 50 
21-45-04.873000,[R]: 0 
21-45-04.874000,[R]: 50 
21-45-04.875000,[R]: 50 
21-45-04.875000,[R]: 50 
21-45-04.876000,[R]: 50 
21-45-04.876000,[R]: 50 
21-45-04.877000,[R]: 50 
21-45-04.877000,[R]: 50 
21-45-04.879000,[R]: 50 
21-45-04.879000,[R]: 50 
21-45-04.884000,[R]: 50 
21-45-04.885000,[R]: 50 
21-45-04.888000,[R]: 50 
21-45-04.889000,[R]: 50 
21-45-04.890000,[R]: 50 
21-45-04.894000,[R]: 50 
21-45-04.895000,[R]: 50 
21-45-05.021000,[R]: 5[R]: 50 
21-45-05.286000,[R]: 50 
21-45-05.552000,[R]: 50 
21-45-05.819000,[R]: 50 
21-45-06.084000,[R]: 50 
21-45-06.350000,[R]: 50 
21-45-06.616000,[R]: 50 
21-45-06.882000,[R]: 50 
21-45-07.148000,[R]: 50 
21-45-07.334000,[R]: 0 
21-45-07.341000,[R]: 50 
21-45-07.606000,[R]: 50 
21-45-07.872000,[R]: 50 
21-45-08.178000,[R]: 50 
21-45-08.405000,[R]: 50 
21-45-08.671000,[R]: 50 
21-45-08.937000,[R]: 50 
21-45-09.202000,[R]: 50 
21-45-09.469000,[R]: 50 
21-45-09.478000,S 1 	RSSI: 47
21-45-09.734000,[R]: 50 
21-45-10.000000,[R]: 50 
21-45-10.013000,S 1 	RSSI: 47
21-45-10.266000,[R]: 50 
21-45-10.532000,[R]: 50 
21-45-10.549000,S 1 	RSSI: 46
21-45-10.798000,[R]: 50 
21-45-11.006000,[R]: 0 
21-45-11.014000,[R]: 50 
21-45-11.281000,[R]: 50 
21-45-11.351000,S 1 	RSSI: 46
21-45-11.547000,[R]: 50 
21-45-11.812000,[R]: 50 
21-45-11.887000,S 1 	RSSI: 46
21-45-12.079000,[R]: 50 
21-45-12.345000,[R]: 50 
21-45-12.424000,S 1 	RSSI: 47
21-45-12.610000,[R]: 50 
21-45-12.876000,[R]: 50 
21-45-12.959000,S 1 	RSSI: 48
21-45-13.143000,[R]: 50 
21-45-13.409000,[R]: 50 
21-45-13.496000,S 1 	RSSI: 48
21-45-13.674000,[R]: 50 
21-45-13.941000,[R]: 50 
21-45-14.031000,S 1 	RSSI: 48
21-45-14.206000,[R]: 50 
21-45-14.472000,[R]: 50 
21-45-14.568000,S 1 	RSSI: 48
21-45-14.709000,[R]: 0 
21-45-14.717000,[R]: 50 
21-45-14.984000,[R]: 50 
21-45-15.103000,S 1 	RSSI: 47
21-45-15.250000,[R]: 50 
21-45-15.516000,[R]: 50 
21-45-15.640000,S 1 	RSSI: 46
21-45-15.781000,[R]: 50 
21-45-16.047000,[R]: 50 
21-45-16.176000,S 1 	RSSI: 46
21-45-16.313000,[R]: 50 
21-45-16.579000,[R]: 50 
21-45-16.810000,S 1 	RSSI: 47
21-45-16.845000,[R]: 50 
21-45-17.111000,[R]: 50 
21-45-17.376000,[R]: 50 
21-45-17.643000,[R]: 50 
21-45-17.909000,[R]: 50 
21-45-18.148000,S 1 	RSSI: 46
21-45-18.175000,[R]: 50 
21-45-18.404000,[R]: 0 
21-45-18.413000,[R]: 50 
21-45-18.679000,[R]: 50 
21-45-18.684000,S 1 	RSSI: 45
21-45-18.944000,[R]: 50 
21-45-19.210000,[R]: 50 
21-45-19.218000,S 1 	RSSI: 45
21-45-19.476000,[R]: 50 
21-45-19.742000,[R]: 50 
21-45-19.755000,S 1 	RSSI: 45
21-45-20.007000,[R]: 50 
21-45-20.274000,[R]: 50 
21-45-20.291000,S 1 	RSSI: 45
21-45-20.540000,[R]: 50 
21-45-20.805000,[R]: 50 
21-45-20.826000,S 1 	RSSI: 46
21-45-21.071000,[R]: 50 
21-45-21.338000,[R]: 50 
21-45-21.363000,S 1 	RSSI: 47
21-45-21.604000,[R]: 50 
21-45-21.869000,[R]: 50 
21-45-21.898000,S 1 	RSSI: 46
21-45-22.135000,[R]: 50 
21-45-22.401000,[R]: 50 
21-45-22.435000,S 1 	RSSI: 46
21-45-22.667000,[R]: 50 
21-45-22.933000,[R]: 50 
21-45-22.970000,S 1 	RSSI: 46
21-45-23.199000,[R]: 50 
21-45-23.464000,[R]: 50 
21-45-23.507000,S 1 	RSSI: 46
21-45-23.730000,[R]: 50 
21-45-23.997000,[R]: 50 
21-45-24.043000,S 1 	RSSI: 46
21-45-24.263000,[R]: 50 
21-45-24.528000,[R]: 50 
21-45-24.578000,S 1 	RSSI: 47
21-45-24.795000,[R]: 50 
21-45-25.061000,[R]: 50 
21-45-25.115000,S 1 	RSSI: 47
21-45-25.326000,[R]: 50 
21-45-25.591000,[R]: 50 
21-45-25.650000,S 1 	RSSI: 46
21-45-25.739000,[R]: 0 
21-45-25.748000,[R]: 50 
21-45-26.013000,[R]: 50 
