21-48-01.005000,----------
21-48-11.664000,S 1 	RSSI: 44
21-48-11.693000,S 1 	RSSI: 44
21-48-11.697000,S 1 	RSSI: 44
21-48-11.707000,S 1 	RSSI: 44
21-48-11.712000,S 1 	RSSI: 44
21-48-11.716000,[R]: 20 
21-48-11.718000,[R]: 1 
21-48-11.728000,S 1 	RSSI: 44
21-48-11.735000,[R]: 2 
21-48-11.743000,[R]: 50 
21-48-11.743000,[R]: 1 
21-48-11.743000,S 1 	RSSI: 44
21-48-11.744000,[R]: 2 
21-48-11.744000,[R]: 50 
21-48-11.745000,[R]: 1 
21-48-11.745000,S 1 	RSSI: 44
21-48-11.746000,[R]: 2 
21-48-11.747000,[R]: 50 
21-48-11.747000,[R]: 1 
21-48-11.747000,S 1 	RSSI: 44
21-48-11.747000,[R]: 2 
21-48-11.748000,[R]: 50 
21-48-11.748000,[R]: 1 
21-48-11.749000,S 1 	RSSI: 44
21-48-11.749000,[R]: 2 
21-48-11.750000,[R]: 50 
21-48-11.750000,[R]: 1 
21-48-11.754000,S 1 	RSSI: 44
21-48-11.755000,[R]: 2 
21-48-11.755000,[R]: 50 
21-48-11.756000,[R]: 20 
21-48-11.756000,[R]: 1 
21-48-11.757000,S 1 	RSSI: 44
21-48-11.761000,[R]: 2 
21-48-11.763000,[R]: 50 
21-48-11.764000,[R]: 1 
21-48-11.764000,S 1 	RSSI: 44
21-48-11.768000,[R]: 2 
21-48-11.769000,[R]: 50 
21-48-11.769000,[R]: 1 
21-48-11.770000,S 1 	RSSI: 44
21-48-11.775000,[R]: 2 
21-48-11.775000,[R]: 50 
21-48-11.776000,[R]: 1 
21-48-11.778000,S 1 	RSSI: 44
21-48-11.781000,[R]: 2 
21-48-11.785000,[R]: 50 
21-48-11.785000,[R]: 1 
21-48-11.787000,S 1 	RSSI: 44
21-48-11.789000,[R]: 2 
21-48-11.790000,[R]: 50 
21-48-11.793000,[R]: 1 
21-48-11.795000,S 1 	RSSI: 44
21-48-11.799000,[R]: 2 
21-48-11.799000,[R]: 50 
21-48-11.800000,[R]: 20 
21-48-11.806000,[R]: 1 
21-48-11.814000,S 1 	RSSI: 44
21-48-11.814000,[R]: 2 
21-48-11.814000,[R]: 50 
21-48-11.815000,[R]: 1 
21-48-11.816000,S 1 	RSSI: 44
21-48-11.819000,[R]: 2 
21-48-11.820000,[R]: 50 
21-48-11.820000,[R]: 1 
21-48-11.826000,S 1 	RSSI: 44
21-48-11.826000,[R]: 2 
21-48-11.826000,[R]: 50 
21-48-11.827000,[R]: 1 
21-48-11.828000,S 1 	RSSI: 44
21-48-11.831000,[R]: 2 
21-48-11.832000,[R]: 50 
21-48-11.835000,[R]: 1 
21-48-11.837000,S 1 	RSSI: 44
21-48-11.839000,[R]: 2 
21-48-11.840000,[R]: 50 
21-48-11.843000,[R]: 1 
21-48-11.845000,S 1 	RSSI: 44
21-48-11.849000,[R]: 2 
21-48-11.849000,[R]: 50 
21-48-11.852000,[R]: 20 
21-48-11.854000,[R]: 1 
21-48-11.854000,S 1 	RSSI: 44
21-48-11.856000,[R]: 2 
21-48-11.856000,[R]: 50 
21-48-11.859000,[R]: 1 
21-48-11.863000,S 1 	RSSI: 44
21-48-11.865000,[R]: 2 
21-48-11.866000,[R]: 50 
21-48-11.868000,[R]: 1 
21-48-11.870000,S 1 	RSSI: 44
21-48-11.873000,[R]: 2 
21-48-11.880000,[R]: 50 
21-48-11.886000,[R]: 1 
21-48-11.891000,S 1 	RSSI: 44
21-48-11.896000,[R]: 2 
21-48-11.900000,[R]: 50 
21-48-11.903000,[R]: 1 
21-48-11.905000,S 1 	RSSI: 44
21-48-11.906000,[R]: 2 
21-48-11.906000,[R]: 50 
21-48-11.907000,[R]: 1 
21-48-11.907000,S 1 	RSSI: 44
21-48-11.910000,[R]: 2 
21-48-11.910000,[R]: 50 
21-48-11.910000,[R]: 20 
21-48-11.911000,[R]: 1 
21-48-11.912000,S 1 	RSSI: 44
21-48-11.915000,[R]: 2 
21-48-11.916000,[R]: 50 
21-48-11.916000,[R]: 1 
21-48-11.917000,S 1 	RSSI: 44
21-48-11.929000,[R]: 2 
21-48-11.930000,[R]: 50 
21-48-11.930000,[R]: 1 
21-48-11.931000,S 1 	RSSI: 44
21-48-11.931000,[R]: 2 
21-48-11.931000,[R]: 50 
21-48-11.932000,[R]: 1 
21-48-11.932000,S 1 	RSSI: 44
21-48-11.933000,[R]: 2 
21-48-11.933000,[R]: 50 
21-48-11.935000,[R]: 1 
21-48-11.937000,S 1 	RSSI: 44
21-48-11.941000,[R]: 2 
21-48-11.942000,[R]: 50 
21-48-11.943000,[R]: 1 
21-48-11.945000,S 1 	RSSI: 44
21-48-11.950000,[R]: 2 
21-48-11.951000,[R]: 50 
