21-48-12.548000,R]: 20 
21-48-12.560000,[R]: 1 
21-48-12.561000,[R]: 50 
21-48-12.623000,[R]: 2 
21-48-12.640000,[R]: 1 
21-48-12.640000,[R]: 50 
21-48-12.670000,[R]: 2 
21-48-12.670000,[R]: 1 
21-48-12.671000,[R]: 50 
21-48-12.671000,[R]: 2 
21-48-12.672000,[R]: 1 
21-48-12.712000,[R]: 50 
21-48-12.712000,[R]: 2 
21-48-12.744000,[R]: 1 
21-48-12.745000,[R]: 50 
21-48-12.745000,[R]: 2 
21-48-12.745000,[R]: 1 
21-48-12.746000,[R]: 50 
21-48-12.746000,[R]: 2 
21-48-12.747000,[R]: 20 
21-48-12.747000,[R]: 1[R]: 1 
21-48-12.747000,[R[R]: 2 
21-48-12.748000,[R]: 1[R]: 1 
21-48-12.748000,[R]: 50 
21-48-12.749000,[R]: 2 
21-48-12.749000,[R]: 1 
21-48-12.750000,[R]: 50 
21-48-12.751000,[R]: 2 
21-48-12.786000,[R]: 20 
21-48-12.795000,[R]: 1 
21-48-12.839000,[R]: 50 
21-48-12.840000,[R]: 2 
21-48-12.841000,[R]: 1 
21-48-12.841000,[R]: 50 
21-48-12.842000,[R]: 2 
21-48-12.842000,[R]: 1 
21-48-12.843000,[R]: 50 
21-48-12.843000,[R]: 2 
21-48-12.874000,[R]: 1 
21-48-12.897000,[R]: 50 
21-48-12.897000,[R]: 2 
21-48-12.911000,[R]: 1 
21-48-12.918000,[R]: 50 
21-48-12.918000,[R]: 2 
21-48-12.919000,[R]: 1 
21-48-12.920000,[R]: 50 
21-48-12.963000,[R]: 2 
21-48-12.964000,[R]: 20 
21-48-12.997000,[R]: 1 
21-48-12.998000,[R]: 50 
21-48-12.998000,[R]: 2 
21-48-13.036000,[R]: 1 
21-48-13.064000,[R]: 50 
21-48-13.149000,[R]: 2 
21-48-13.226000,[R]: 1 
21-48-13.240000,[R]: 50 
21-48-13.263000,[R]: 2 
21-48-13.264000,[R]: 1 
21-48-13.264000,[R]: 50 
21-48-13.267000,[R]: 2 
21-48-13.268000,[R]: 1 
21-48-13.268000,[R]: 50 
21-48-13.280000,[R]: 2 
21-48-13.281000,[R]: 1 
21-48-13.282000,[R]: 50 
21-48-13.282000,[R]: 2 
21-48-13.303000,[R]: 20 
21-48-13.308000,[R]: 1 
21-48-13.309000,[R]: 50 
21-48-13.319000,[R]: 2 
21-48-13.342000,[R]: 1 
21-48-13.347000,[R]: 50 
21-48-13.348000,[R]: 2 
21-48-13.348000,[R]: 1 
21-48-13.349000,[R]: 50 
21-48-13.352000,[R]: 2 
21-48-13.352000,[R]: 1 
21-48-13.360000,[R]: 50 
21-48-13.398000,[R]: 2 
21-48-13.453000,[R]: 1 
21-48-13.466000,[R]: 50 
21-48-13.466000,[R]: 2 
21-48-13.467000,[R]: 1 
21-48-13.468000,[R]: 50 
21-48-13.502000,[R]: 2 
21-48-13.503000,[R]: 20 
21-48-13.513000,[R]: 1 
21-48-13.514000,[R]: 50 
21-48-13.530000,[R]: 2 
21-48-13.541000,[R]: 1 
21-48-13.541000,[R]: 50 
21-48-13.542000,[R]: 2 
21-48-13.546000,[R]: 1 
21-48-13.547000,[R]: 50 
21-48-13.547000,[R]: 2 
21-48-13.551000,[R]: 1 
21-48-13.552000,[R]: 50 
21-48-13.552000,[R]: 2 
21-48-13.556000,[R]: 1 
21-48-13.557000,[R]: 50 
21-48-13.557000,[R]: 2 
21-48-13.558000,[R]: 1 
21-48-13.558000,[R]: 50 
21-48-13.559000,[R]: 2 
21-48-13.560000,[R]: 20 
21-48-13.560000,[R]: 1 
21-48-13.560000,[R]: 50 
21-48-13.561000,[R]: 2 
21-48-13.567000,[R]: 1 
21-48-13.567000,[R]: 50 
21-48-13.568000,[R]: 2 
21-48-13.568000,[R]: 1 
21-48-13.569000,[R]: 50 
21-48-13.572000,[R]: 2 
21-48-13.573000,[R]: 1 
21-48-13.573000,[R]: 50 
21-48-13.574000,[R]: 2 
21-48-13.582000,[R]: 1 
21-48-13.583000,[R]: 50 
21-48-13.593000,[R]: 2 
21-48-13.606000,[R]: 1 
21-48-13.614000,[R]: 50 
21-48-13.614000,[R]: 2 
21-48-13.615000,[R]: 1 
21-48-13.630000,[R]: 50 
21-48-13.667000,[R]: 2 
21-48-13.668000,[R]: 1 
21-48-13.668000,[R]: 50 
21-48-13.669000,[R]: 2 
21-48-13.673000,[R]: 1 
21-48-13.673000,[R]: 50 
21-48-13.699000,[R]: 20 
21-48-13.718000,[R]: 1 
21-48-13.732000,[R]: 50 
21-48-13.733000,[R]: 2 
21-48-13.733000,[R]: 1 
21-48-13.736000,[R]: 50 
21-48-13.746000,[R]: 2 
21-48-13.747000,[R]: 1 
21-48-13.747000,[R]: 50 
21-48-13.757000,[R]: 2 
21-48-13.777000,[R]: 1 
