22-04-56.525000,"""Program init"""
22-04-56.527000,"""Softdevice enabled"""
22-04-56.529000,"""Interrupts enabled"""
22-04-56.531000,"""Scanner initialized"""
22-04-56.534000,"""Scanner parameters set"""
22-04-56.535000,"""Scanner enabled"""
22-04-59.064000,"""type 2, info: ---a_new_sensor_enters---"""
22-05-02.380000,"""type 1, info: ---a_new_sensor_enters---"""
22-06-31.692000,"""type 3, info: ---a_new_sensor_enters---"""
22-07-55.675000,"""type 4, info: ---a_new_sensor_enters---"""
22-07-55.692000,"""COUNT 0 0 0 0"
22-07-55.692000,[0] 0 0 0
22-07-55.693000,[1] 0 0
22-07-55.694000,[2] 0
22-07-55.694000,""""
22-07-55.711000,"""COUNT 0 0 0 0"
22-07-55.712000,[0] 0 0 0
22-07-55.713000,[1] 0 0
22-07-55.714000,[2] 0
22-07-55.714000,""""
22-07-55.717000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.720000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.723000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.727000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-55.733000,"""COUNT 1 1 1 1"
22-07-55.734000,[0] 59 0 0
22-07-55.735000,[1] 45 56
22-07-55.736000,[2] 0
22-07-55.736000,""""
22-07-55.739000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.742000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.745000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.748000,"""[RSP] Sensor: 4. RSSI: 79"""
22-07-55.754000,"""COUNT 1 1 1 1"
22-07-55.756000,[0] 58 59 70
22-07-55.757000,[1] 44 55
22-07-55.758000,[2] 75
22-07-55.759000,""""
22-07-55.762000,"""[RSP] Sensor: 2. RSSI: 68"""
22-07-55.764000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.766000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-55.769000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.775000,"""COUNT 1 1 1 1"
22-07-55.775000,[0] 58 0 69
22-07-55.776000,[1] 44 55
22-07-55.777000,[2] 75
22-07-55.779000,""""
22-07-55.781000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.784000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.786000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-55.789000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.792000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.795000,"""COUNT 1 2 1 1"
22-07-55.796000,[0] 58 59 69
22-07-55.797000,[1] 44 55
22-07-55.798000,[2] 0
22-07-55.800000,""""
22-07-55.802000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-55.805000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.807000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.811000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.815000,"""COUNT 1 1 1 1"
22-07-55.817000,[0] 58 59 0
22-07-55.817000,[1] 44 56
22-07-55.819000,[2] 79
22-07-55.820000,""""
22-07-55.821000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-55.824000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.827000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.829000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.832000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-55.836000,"""COUNT 1 1 1 2"
22-07-55.837000,[0] 58 60 70
22-07-55.838000,[1] 44 56
22-07-55.839000,[2] 77
22-07-55.839000,""""
22-07-55.842000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.845000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.847000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.851000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-55.854000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.856000,"""COUNT 2 1 1 1"
22-07-55.856000,[0] 58 59 0
22-07-55.858000,[1] 44 57
22-07-55.859000,[2] 77
22-07-55.860000,""""
22-07-55.861000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.865000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.867000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-55.874000,"""COUNT 1 0 1 1"
22-07-55.875000,[0] 0 59 70
22-07-55.876000,[1] 44 0
22-07-55.876000,[2] 78
22-07-55.878000,""""
22-07-55.880000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.883000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.886000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.889000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-55.895000,"""COUNT 1 1 1 1"
22-07-55.897000,[0] 58 59 69
22-07-55.904000,[1] 44 58
22-07-55.905000,[2] 78
22-07-55.905000,""""
22-07-55.906000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.908000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.912000,"""COUNT 0 1 1 0"
22-07-55.914000,[0] 0 0 0
22-07-55.915000,[1] 0 0
22-07-55.916000,[2] 77
22-07-55.916000,""""
22-07-55.919000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.922000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.924000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-55.927000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.934000,"""COUNT 1 1 1 1"
22-07-55.935000,[0] 0 60 70
22-07-55.936000,[1] 45 59
22-07-55.937000,[2] 76
22-07-55.938000,""""
22-07-55.941000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.943000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-55.947000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.950000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.952000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.956000,"""COUNT 1 1 2 1"
22-07-55.957000,[0] 58 60 69
22-07-55.957000,[1] 44 59
22-07-55.959000,[2] 75
22-07-55.960000,""""
22-07-55.962000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-55.965000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.968000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.971000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.973000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-55.976000,"""COUNT 1 1 1 2"
22-07-55.976000,[0] 58 60 69
22-07-55.978000,[1] 44 59
22-07-55.979000,[2] 75
22-07-55.979000,""""
22-07-55.982000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.985000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-55.989000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-55.991000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-55.993000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-55.996000,"""COUNT 2 1 1 1"
22-07-55.998000,[0] 58 59 0
22-07-55.999000,[1] 44 59
22-07-56.000000,[2] 75
22-07-56.001000,""""
22-07-56.002000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.005000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.008000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.011000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.016000,"""COUNT 1 1 1 1"
22-07-56.017000,[0] 58 59 69
22-07-56.017000,[1] 44 59
22-07-56.019000,[2] 75
22-07-56.019000,""""
22-07-56.022000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.025000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.027000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.033000,"""COUNT 1 1 1 0"
22-07-56.035000,[0] 58 0 0
22-07-56.035000,[1] 44 59
22-07-56.037000,[2] 75
22-07-56.038000,""""
22-07-56.040000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.043000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.049000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.053000,"""COUNT 1 1 1 0"
22-07-56.054000,[0] 0 0 0
22-07-56.055000,[1] 44 0
22-07-56.056000,[2] 0
22-07-56.056000,""""
22-07-56.059000,"""[RSP] Sensor: 2. RSSI: 69"""
