22-16-50.266000,"ÿ""Scanner enabled\r\n"""
22-16-59.265000,"""type 2, info: ---a_new_sensor_enters---"""
22-17-02.136000,"""type 1, info: ---a_new_sensor_enters---"""
22-17-02.148000,"""COUNT 0 0"
22-17-02.150000,[0] 0 0
22-17-02.151000,""""
22-17-02.157000,"""COUNT 0 0"
22-17-02.167000,[0] 0 0
22-17-02.168000,""""
22-17-02.169000,"""Sensor: 2. RSSI: 65"""
22-17-02.177000,"""COUNT 0 1"
22-17-02.180000,[0] 0 0
22-17-02.181000,""""
22-17-02.182000,"""Sensor: 1. RSSI: 59"""
22-17-02.182000,"""Sensor: 2. RSSI: 65"""
22-17-02.183000,"""COUNT 1 1"
22-17-02.184000,[0] 0 0
22-17-02.185000,""""
22-17-02.186000,"""Sensor: 1. RSSI: 59"""
22-17-02.188000,"""Sensor: 2. RSSI: 65"""
22-17-02.189000,"""COUNT 1 1"
22-17-02.190000,[0] 0 62
22-17-02.190000,""""
22-17-02.195000,"""COUNT 0 0"
22-17-02.201000,[0] 0 0
22-17-02.212000,""""
22-17-02.212000,"""COUNT 0 0"
22-17-02.215000,[0] 0 0
22-17-02.219000,""""
22-17-02.226000,"""COUNT 0 0"
22-17-02.228000,[0] 0 0
22-17-02.229000,""""
22-17-02.230000,"""COUNT 0 0"
22-17-02.230000,[0] 0 0
22-17-02.231000,""""
22-17-02.235000,"""COUNT 0 0"
22-17-02.251000,[0] 0 0
22-17-02.252000,""""
22-17-02.254000,"""Sensor: 1. RSSI: 59"""
22-17-02.257000,"""Sensor: 2. RSSI: 66"""
22-17-02.257000,"""COUNT 1 1"
22-17-02.259000,[0] 0 0
22-17-02.260000,""""
22-17-02.260000,"""Sensor: 1. RSSI: 59"""
22-17-02.260000,"""Sensor: 2. RSSI: 67"""
22-17-02.261000,"""COUNT 1 1"
22-17-02.261000,[0] 0 63
22-17-02.261000,""""
22-17-02.262000,"""Sensor: 2. RSSI: 67"""
22-17-02.264000,"""Sensor: 1. RSSI: 59"""
22-17-02.266000,"""COUNT 1 1"
22-17-02.267000,[0] 0 63
22-17-02.268000,""""
22-17-02.270000,"""Sensor: 2. RSSI: 66"""
22-17-02.272000,"""Sensor: 1. RSSI: 59"""
22-17-02.276000,"""COUNT 1 1"
22-17-02.276000,[0] 0 63
22-17-02.277000,""""
22-17-02.281000,"""Sensor: 1. RSSI: 59"""
22-17-02.285000,"""Sensor: 2. RSSI: 67"""
22-17-02.286000,"""COUNT 1 1"
22-17-02.287000,[0] 0 0
22-17-02.287000,""""
22-17-02.288000,"""Sensor: 1. RSSI: 59"""
22-17-02.296000,"""Sensor: 2. RSSI: 67"""
22-17-02.296000,"""COUNT 1 1"
22-17-02.297000,[0] 0 0
22-17-02.297000,""""
22-17-02.298000,"""Sensor: 1. RSSI: 59"""
22-17-02.301000,"""Sensor: 2. RSSI: 67"""
22-17-02.305000,"""COUNT 1 1"
22-17-02.306000,[0] 0 0
22-17-02.306000,""""
22-17-02.309000,"""Sensor: 1. RSSI: 60"""
22-17-02.313000,"""Sensor: 2. RSSI: 67"""
22-17-02.316000,"""COUNT 1 1"
22-17-02.316000,[0] 0 0
22-17-02.317000,""""
22-17-02.317000,"""Sensor: 1. RSSI: 59"""
22-17-02.321000,"""Sensor: 2. RSSI: 67"""
22-17-02.326000,"""COUNT 1 1"
22-17-02.326000,[0] 0 63
22-17-02.327000,""""
22-17-02.336000,"""COUNT 0 0"
22-17-02.336000,[0] 0 0
22-17-02.336000,""""
22-17-02.346000,"""COUNT 0 0"
22-17-02.346000,[0] 0 0
22-17-02.346000,""""
22-17-02.356000,"""COUNT 0 0"
22-17-02.363000,[0] 0 0
22-17-02.363000,""""
22-17-02.366000,"""COUNT 0 0"
22-17-02.366000,[0] 0 0
22-17-02.366000,""""
22-17-02.376000,"""COUNT 0 0"
22-17-02.376000,[0] 0 0
22-17-02.376000,""""
22-17-02.380000,"""Sensor: 1. RSSI: 59"""
22-17-02.384000,"""Sensor: 2. RSSI: 67"""
22-17-02.386000,"""COUNT 1 1"
22-17-02.386000,[0] 0 0
22-17-02.387000,""""
22-17-02.388000,"""Sensor: 1. RSSI: 60"""
22-17-02.391000,"""Sensor: 2. RSSI: 67"""
22-17-02.396000,"""COUNT 1 1"
22-17-02.396000,[0] 0 0
22-17-02.397000,""""
22-17-02.406000,"""COUNT 0 0"
22-17-02.406000,[0] 0 0
22-17-02.407000,""""
22-17-02.416000,"""COUNT 0 0"
22-17-02.416000,[0] 0 0
22-17-02.417000,""""
22-17-02.426000,"""COUNT 0 0"
22-17-02.427000,[0] 0 0
22-17-02.427000,""""
22-17-02.436000,"""COUNT 0 0"
22-17-02.437000,[0] 0 0
22-17-02.438000,""""
22-17-02.447000,"""COUNT 0 0"
22-17-02.447000,[0] 0 0
22-17-02.448000,""""
22-17-02.451000,"""Sensor: 1. RSSI: 59"""
22-17-02.454000,"""Sensor: 2. RSSI: 67"""
22-17-02.457000,"""COUNT 1 1"
22-17-02.457000,[0] 0 0
22-17-02.459000,""""
22-17-02.460000,"""Sensor: 1. RSSI: 59"""
22-17-02.463000,"""Sensor: 2. RSSI: 67"""
22-17-02.466000,"""COUNT 1 1"
22-17-02.466000,[0] 0 0
22-17-02.467000,""""
22-17-02.471000,"""Sensor: 1. RSSI: 59"""
22-17-02.476000,"""Sensor: 2. RSSI: 67"""
22-17-02.477000,"""COUNT 1 1"
22-17-02.477000,[0] 0 0
22-17-02.479000,""""
22-17-02.479000,"""Sensor: 1. RSSI: 59"""
22-17-02.483000,"""Sensor: 2. RSSI: 66"""
22-17-02.487000,"""COUNT 1 1"
22-17-02.487000,[0] 0 63
22-17-02.489000,""""
22-17-02.491000,"""Sensor: 2. RSSI: 67"""
22-17-02.494000,"""Sensor: 1. RSSI: 60"""
22-17-02.496000,"""COUNT 1 1"
22-17-02.496000,[0] 0 0
22-17-02.498000,""""
22-17-02.499000,"""Sensor: 2. RSSI: 66"""
22-17-02.503000,"""Sensor: 1. RSSI: 60"""
22-17-02.506000,"""COUNT 1 1"
22-17-02.507000,[0] 0 0
22-17-02.509000,""""
22-17-02.510000,"""Sensor: 2. RSSI: 66"""
22-17-02.511000,"""Sensor: 1. RSSI: 60"""
22-17-02.516000,"""Sensor: 2. RSSI: 66"""
22-17-02.516000,"""COUNT 1 2"
22-17-02.518000,[0] 0 0
22-17-02.519000,""""
22-17-02.520000,"""Sensor: 1. RSSI: 59"""
22-17-02.524000,"""Sensor: 2. RSSI: 67"""
22-17-02.527000,"""COUNT 1 1"
22-17-02.529000,[0] 0 0
22-17-02.530000,""""
22-17-02.531000,"""Sensor: 1. RSSI: 59"""
22-17-02.533000,"""Sensor: 2. RSSI: 66"""
22-17-02.536000,"""COUNT 1 1"
22-17-02.539000,[0] 0 0
22-17-02.540000,""""
22-17-02.541000,"""Sensor: 1. RSSI: 59"""
22-17-02.546000,"""COUNT 1 0"
22-17-02.547000,[0] 0 0
22-17-02.549000,""""
22-17-02.550000,"""Sensor: 1. RSSI: 59"""
22-17-02.552000,"""Sensor: 2. RSSI: 67"""
22-17-02.555000,"""COUNT 1 1"
22-17-02.556000,[0] 0 0
22-17-02.557000,""""
22-17-02.560000,"""Sensor: 2. RSSI: 67"""
22-17-02.565000,"""Sensor: 1. RSSI: 59"""
22-17-02.566000,"""COUNT 1 1"
22-17-02.567000,[0] 0 0
