22-41-32.858000,--------------------------
22-43-45.216000,[R]: 20 
22-43-45.231000,[R]: 1 
22-43-45.232000,[R]: 2 
22-43-45.232000,[R]: 50 
22-43-45.233000,[R]: 3 
22-43-45.233000,[R]: 4 
22-43-45.241000,[R]: 5 
22-43-45.241000,[R]: 6 
22-43-45.243000,[R]: 7 
22-43-45.276000,[R]: 8 
22-43-45.277000,[R]: 1 
22-43-45.277000,[R]: 2 
22-43-45.278000,[R]: 50 
22-43-45.280000,[R]: 3 
22-43-45.280000,[R]: 4 
22-43-45.310000,[R]: 5 
22-43-45.311000,[R]: 6 
22-43-45.311000,[R]: 7 
22-43-45.320000,[R]: 8 
22-43-45.321000,[R]: 1 
22-43-45.329000,S 1 	RSSI: 55
22-43-45.330000,[R]: 2 
22-43-45.343000,[R]: 50 
22-43-45.344000,[R]: 3 
22-43-45.344000,[R]: 4 
22-43-45.345000,[R]: 5 
22-43-45.345000,[R]: 6 
22-43-45.346000,[R]: 7 
22-43-45.346000,[R]: 8 
22-43-45.349000,[R]: 1 
22-43-45.350000,S 1 	RSSI: 55
22-43-45.350000,[R]: 2 
22-43-45.351000,[R]: 50 
22-43-45.407000,[R]: 3 
22-43-45.407000,[R]: 4 
22-43-45.408000,[R]: 5 
22-43-45.408000,[R]: 6 
22-43-45.411000,[R]: 7 
22-43-45.411000,[R]: 8 
22-43-45.412000,[R]: 1 
22-43-45.419000,S 1 	RSSI: 55
22-43-45.419000,[R]: 2 
22-43-45.420000,[R]: 50 
22-43-45.421000,[R]: 3 
22-43-45.421000,[R]: 4 
22-43-45.422000,[R]: 5 
22-43-45.431000,[R]: 6 
22-43-45.432000,[R]: 7 
22-43-45.434000,[R]: 8 
22-43-45.436000,[R]: 1 
22-43-45.437000,S 1 	RSSI: 55
22-43-45.437000,[R]: 2 
22-43-45.440000,[R]: 50 
22-43-45.441000,[R]: 3 
22-43-45.441000,[R]: 4 
22-43-45.475000,[R]: 5 
22-43-45.477000,[R]: 6 
22-43-45.477000,[R]: 7 
22-43-45.482000,[R]: 8 
22-43-45.482000,[R]: 1 
22-43-45.483000,[R]: 2 
22-43-45.483000,[R]: 50 
22-43-45.483000,[R]: 3 
22-43-45.484000,[R]: 4 
22-43-45.484000,[R]: 5 
22-43-45.492000,[R]: 6 
22-43-45.492000,[R]: 7 
22-43-45.493000,[R]: 8 
22-43-45.493000,[R]: 1 
22-43-45.494000,[R]: 2 
22-43-45.495000,[R]: 50 
22-43-45.498000,[R]: 3 
22-43-45.498000,[R]: 4 
22-43-45.499000,[R]: 5 
22-43-45.500000,[R]: 6 
22-43-45.501000,[R]: 7 
22-43-45.509000,[R]: 8 
22-43-45.510000,[R]: 1 
22-43-45.511000,[R]: 2 
22-43-45.528000,[R]: 50 
22-43-45.529000,[R]: 3 
22-43-45.529000,[R]: 4 
22-43-45.530000,[R]: 5 
22-43-45.531000,[R]: 6 
22-43-45.531000,[R]: 7 
22-43-45.532000,[R]: 8 
22-43-45.532000,[R]: 1 
22-43-45.533000,[R]: 2 
22-43-45.545000,[R]: 50 
22-43-45.546000,[R]: 3 
22-43-45.567000,[R]: 4 
22-43-45.568000,[R]: 5 
22-43-45.571000,[R]: 6 
22-43-45.573000,[R]: 7 
22-43-45.573000,[R]: 8 
22-43-45.575000,[R]: 1 
22-43-45.576000,[R]: 2 
22-43-45.577000,[R]: 50 
22-43-45.577000,[R]: 3 
22-43-45.578000,[R]: 4 
22-43-45.579000,[R]: 5 
22-43-45.579000,[R]: 6 
22-43-45.580000,[R]: 7 
22-43-45.580000,[R]: 8 
22-43-45.581000,[R]: 20 
22-43-45.581000,[R]: 1 
22-43-45.585000,[R]: 2 
22-43-45.591000,[R]: 50 
22-43-45.592000,[R]: 3 
22-43-45.593000,[R]: 4 
22-43-45.608000,[R]: 5 
22-43-45.608000,[R]: 6 
22-43-45.614000,[R]: 7 
22-43-45.615000,[R]: 8 
22-43-45.617000,[R]: 1 
22-43-45.617000,[R]: 2 
22-43-45.618000,[R]: 50 
22-43-45.620000,[R]: 3 
22-43-45.624000,[R]: 4 
22-43-45.628000,[R]: 5 
22-43-45.637000,[R]: 6 
22-43-45.644000,[R]: 7 
22-43-45.645000,[R]: 8 
22-43-45.646000,[R]: 1 
22-43-45.650000,[R]: 2 
22-43-45.659000,[R]: 50 
22-43-45.659000,[R]: 3 
22-43-45.662000,[R]: 4 
22-43-45.662000,[R]: 5 
22-43-45.665000,[R]: 6 
22-43-45.674000,[R]: 7 
22-43-45.700000,[R]: 8 
22-43-45.700000,[R]: 1 
22-43-45.727000,[R]: 2 
22-43-45.739000,[R]: 50 
22-43-45.740000,[R]: 3 
22-43-45.740000,[R]: 4 
22-43-45.741000,[R]: 5 
22-43-45.741000,[R]: 20 
22-43-45.742000,[R]: 1 
22-43-45.742000,[R]: 2 
22-43-45.743000,[R]: 50 
22-43-45.743000,[R]: 3 
22-43-45.747000,[R]: 4 
22-43-45.748000,[R]: 5 
22-43-45.749000,[R]: 6 
22-43-45.751000,[R]: 7 
22-43-45.752000,[R]: 8 
22-43-45.762000,[R]: 1 
22-43-45.763000,[R]: 2 
22-43-45.763000,[R]: 50 
22-43-45.774000,[R]: 3 
22-43-45.811000,[R]: 4 
22-43-45.811000,[R]: 5 
22-43-45.812000,[R]: 6 
22-43-45.812000,[R]: 7 
22-43-45.813000,[R]: 8 
22-43-45.813000,[R]: 1 
22-43-45.836000,[R]: 2 
22-43-45.837000,[R]: 50 
22-43-45.838000,[R]: 3 
22-43-45.840000,[R]: 4 
22-43-45.840000,[R]: 5 
22-43-45.841000,[R]: 6 
22-43-45.841000,[R]: 7 
22-43-45.842000,[R]: 8 
22-43-45.851000,[R]: 1 
