22-57-06.503000,----------------------------
22-57-07.617000,[R]: 0 
22-57-07.631000,[R]: 50 
22-57-07.669000,[R]: 0 
22-57-07.682000,[R]: 50 
22-57-07.722000,[R]: 0 
22-57-07.735000,[R]: 50 
22-57-07.993000,[R]: 50 
22-57-08.250000,[R]: 50 
22-57-08.506000,[R]: 50 
22-57-08.763000,[R]: 50 
22-57-09.021000,[R]: 50 
22-57-09.035000,[R]: 0 
22-57-09.050000,[R]: 50 
22-57-09.088000,[R]: 0 
22-57-09.097000,[R]: 50 
22-57-09.101000,[R]: 0 
22-57-09.102000,[R]: 50 
22-57-09.102000,[R]: 0 
22-57-09.107000,[R]: 50 
22-57-09.128000,[R]: 50 
22-57-09.136000,[R]: 0 
22-57-09.152000,[R]: 50 
22-57-09.155000,[R]: 0 
22-57-09.165000,[R]: 50 
22-57-09.174000,[R]: 0 
22-57-09.185000,[R]: 50 
22-57-09.194000,[R]: 0 
22-57-09.205000,[R]: 50 
22-57-09.215000,[R]: 0 
22-57-09.225000,[R]: 50 
22-57-09.235000,[R]: 0 
22-57-09.245000,[R]: 50 
22-57-09.258000,[R]: 0 
22-57-09.267000,[R]: 50 
22-57-09.276000,[R]: 0 
22-57-09.277000,[R]: 0 
22-57-09.286000,[R]: 50 
22-57-09.292000,[R]: 0 
22-57-09.296000,[R]: 0 
22-57-09.305000,[R]: 50 
22-57-09.308000,[R]: 0 
22-57-09.315000,[R]: 0 
22-57-09.319000,S 1 	RSSI: 52
22-57-09.325000,[R]: 50 
22-57-09.343000,[R]: 0 
22-57-09.343000,S 1 	RSSI: 53
22-57-09.344000,[R]: 0 
22-57-09.347000,[R]: 50 
22-57-09.352000,[R]: 0 
22-57-09.355000,[R]: 0 
22-57-09.366000,[R]: 50 
22-57-09.386000,[R]: 0 
22-57-09.387000,[R]: 0 
22-57-09.403000,[R]: 50 
22-57-09.436000,[R]: 0 
22-57-09.437000,[R]: 0 
22-57-09.437000,S 1 	RSSI: 55
22-57-09.438000,[R]: 50 
22-57-09.438000,[R]: 0 
22-57-09.446000,S 1 	RSSI: 55
22-57-09.447000,[R]: 0 
22-57-09.447000,[R]: 50 
22-57-09.448000,[R]: 0 
22-57-09.461000,[R]: 0 
22-57-09.461000,[R]: 50 
22-57-09.462000,[R]: 0 
22-57-09.462000,[R]: 0 
22-57-09.483000,S 1 	RSSI: 55
22-57-09.483000,[R]: 50 
22-57-09.505000,[R]: 0 
22-57-09.691000,S 1 	RSSI: 55
22-57-09.692000,[R]: 0 
22-57-09.692000,[R]: 50 
22-57-09.693000,[R]: 0 
22-57-09.693000,[R]: 0 
22-57-09.694000,[R]: 50 
22-57-09.694000,[R]: 0 
22-57-09.694000,[R]: 0 
22-57-09.695000,[R]: 50 
22-57-09.695000,[R]: 0 
22-57-09.730000,[R]: 0 
22-57-09.730000,S 1 	RSSI: 53
22-57-09.731000,[R]: 50 
22-57-09.734000,[R]: 0 
22-57-09.734000,S 1 	RSSI: 53
22-57-09.735000,[R]: 0 
22-57-09.735000,[R]: 50 
22-57-09.735000,[R]: 0 
22-57-09.737000,[R]: 0 
22-57-09.737000,[R]: 50 
22-57-09.738000,[R]: 0 
22-57-09.738000,[R]: 0 
22-57-09.738000,S 1 	RSSI: 53
22-57-09.739000,[R]: 50 
22-57-09.739000,[R]: 0 
22-57-09.740000,S 1 	RSSI: 52
22-57-09.740000,[R]: 0 
22-57-09.740000,[R]: 50 
22-57-09.744000,[R]: 0 
22-57-09.744000,[R]: 0 
22-57-09.754000,[R]: 50 
22-57-09.772000,[R]: 0 
22-57-09.773000,[R]: 0 
22-57-09.773000,[R]: 50 
22-57-09.774000,[R]: 0 
22-57-09.774000,[R]: 0 
22-57-09.775000,S 1 	RSSI: 53
22-57-09.775000,[R]: 50 
22-57-09.776000,[R]: 0 
22-57-09.777000,S 1 	RSSI: 53
22-57-09.794000,[R]: 0 
22-57-09.795000,[R]: 50 
22-57-09.795000,[R]: 0 
22-57-09.805000,[R]: 0 
22-57-09.805000,[R]: 50 
22-57-09.807000,[R]: 0 
22-57-09.808000,[R]: 0 
22-57-09.809000,[R]: 50 
22-57-09.809000,[R]: 0 
22-57-09.819000,[R]: 0 
22-57-09.819000,S 1 	RSSI: 53
22-57-09.820000,[R]: 50 
22-57-09.821000,[R]: 0 
22-57-09.821000,S 1 	RSSI: 53
22-57-09.822000,[R]: 0 
22-57-09.822000,[R]: 50 
22-57-09.833000,[R]: 0 
22-57-09.833000,[R]: 0 
22-57-09.834000,[R]: 50 
22-57-09.834000,[R]: 0 
22-57-09.835000,[R]: 0 
22-57-09.835000,S 1 	RSSI: 53
22-57-09.839000,[R]: 50 
22-57-09.839000,[R]: 0 
22-57-09.840000,S 1 	RSSI: 53
22-57-09.840000,[R]: 0 
22-57-09.846000,[R]: 50 
22-57-09.864000,[R]: 0 
22-57-09.864000,[R]: 0 
22-57-09.946000,[R]: 50 
22-57-09.946000,[R]: 0 
22-57-09.947000,[R]: 0 
22-57-09.947000,[R]: 50 
22-57-09.953000,[R]: 0 
22-57-09.978000,[R]: 0 
22-57-09.979000,S 1 	RSSI: 53
22-57-09.980000,[R]: 50 
22-57-09.980000,[R]: 0 
22-57-09.981000,S 1 	RSSI: 53
22-57-09.991000,[R]: 0 
22-57-10.001000,[R]: 50 
22-57-10.038000,[R]: 0 
22-57-10.056000,[R]: 0 
22-57-10.056000,[R]: 50 
22-57-10.057000,[R]: 0 
22-57-10.057000,[R]: 0 
22-57-10.058000,S 1 	RSSI: 53
22-57-10.058000,[R]: 50 
22-57-10.058000,[R]: 0 
22-57-10.059000,S 1 	RSSI: 53
22-57-10.059000,[R]: 0 
22-57-10.060000,[R]: 50 
22-57-10.060000,[R]: 0 
22-57-10.061000,[R]: 0 
22-57-10.061000,[R]: 50 
22-57-10.061000,[R]: 0 
22-57-10.064000,[R]: 0 
22-57-10.067000,S 1 	RSSI: 53
22-57-10.068000,[R]: 50 
22-57-10.069000,[R]: 0 
22-57-10.126000,S 1 	RSSI: 53
22-57-10.139000,[R]: 0 
22-57-10.166000,S 1 	RSSI: 53
22-57-10.167000,[R]: 50 
22-57-10.169000,[R]: 0 
22-57-10.170000,S 1 	RSSI: 53
22-57-10.170000,[R]: 0 
22-57-10.170000,[R]: 50 
22-57-10.171000,[R]: 0 
22-57-10.171000,[R]: 0 
22-57-10.172000,[R]: 50 
22-57-10.172000,[R]: 0 
22-57-10.180000,[R]: 0 
22-57-10.180000,S 1 	RSSI: 53
22-57-10.193000,[R]: 50 
22-57-10.193000,[R]: 0 
22-57-10.197000,S 1 	RSSI: 53
22-57-10.197000,[R]: 0 
22-57-10.200000,[R]: 50 
22-57-10.200000,[R]: 0 
22-57-10.201000,[R]: 0 
22-57-10.201000,[R]: 50 
22-57-10.202000,[R]: 0 
22-57-10.202000,[R]: 0 
22-57-10.203000,[R]: 50 
22-57-10.210000,[R]: 0 
22-57-10.210000,[R]: 0 
22-57-10.211000,S 1 	RSSI: 53
22-57-10.211000,[R]: 50 
22-57-10.212000,[R]: 0 
22-57-10.212000,S 1 	RSSI: 53
22-57-10.213000,[R]: 0 
22-57-10.213000,[R]: 50 
22-57-10.214000,[R]: 0 
22-57-10.221000,[R]: 0 
22-57-10.225000,[R]: 50 
22-57-10.225000,[R]: 0 
22-57-10.235000,[R]: 0 
22-57-10.238000,S 1 	RSSI: 53
22-57-10.245000,[R]: 50 
22-57-10.245000,[R]: 0 
22-57-10.251000,S 1 	RSSI: 53
22-57-10.255000,[R]: 0 
22-57-10.265000,[R]: 50 
22-57-10.270000,[R]: 0 
22-57-10.275000,[R]: 0 
22-57-10.285000,[R]: 50 
22-57-10.286000,[R]: 0 
22-57-10.295000,[R]: 0 
22-57-10.305000,[R]: 50 
22-57-10.306000,[R]: 0 
22-57-10.315000,[R]: 0 
22-57-10.318000,S 1 	RSSI: 53
22-57-10.325000,[R]: 50 
22-57-10.325000,[R]: 0 
22-57-10.332000,S 1 	RSSI: 53
22-57-10.335000,[R]: 0 
22-57-10.345000,[R]: 50 
22-57-10.350000,[R]: 0 
22-57-10.358000,[R]: 50 
22-57-10.365000,[R]: 0 
22-57-10.372000,S 1 	RSSI: 53
22-57-10.378000,[R]: 50 
22-57-10.397000,[R]: 0 
22-57-10.401000,S 1 	RSSI: 53
22-57-10.402000,[R]: 50 
22-57-10.421000,S 1 	RSSI: 53
22-57-10.424000,[R]: 0 
22-57-10.425000,S 1 	RSSI: 53
22-57-10.431000,[R]: 50 
22-57-10.431000,S 1 	RSSI: 53
22-57-10.433000,[R]: 0 
22-57-10.433000,S 1 	RSSI: 53
22-57-10.437000,[R]: 50 
22-57-10.441000,S 1 	RSSI: 53
22-57-10.456000,[R]: 50 
22-57-10.458000,S 1 	RSSI: 53
22-57-10.464000,[R]: 0 
22-57-10.472000,S 1 	RSSI: 53
22-57-10.476000,[R]: 50 
22-57-10.478000,S 1 	RSSI: 53
22-57-10.484000,[R]: 0 
22-57-10.491000,S 1 	RSSI: 54
22-57-10.496000,[R]: 50 
22-57-10.498000,S 1 	RSSI: 53
22-57-10.505000,[R]: 0 
22-57-10.512000,S 1 	RSSI: 53
22-57-10.516000,[R]: 50 
22-57-10.524000,S 1 	RSSI: 53
22-57-10.525000,[R]: 0 
22-57-10.531000,S 1 	RSSI: 53
22-57-10.536000,[R]: 50 
22-57-10.538000,S 1 	RSSI: 53
22-57-10.544000,[R]: 0 
22-57-10.551000,S 1 	RSSI: 53
22-57-10.555000,[R]: 50 
22-57-10.560000,S 1 	RSSI: 53
22-57-10.565000,[R]: 0 
22-57-10.571000,S 1 	RSSI: 53
22-57-10.575000,[R]: 50 
22-57-10.584000,[R]: 0 
22-57-10.591000,S 1 	RSSI: 53
22-57-10.595000,[R]: 50 
22-57-10.605000,[R]: 0 
22-57-10.611000,S 1 	RSSI: 53
22-57-10.615000,[R]: 50 
22-57-10.625000,[R]: 0 
22-57-10.631000,S 1 	RSSI: 53
22-57-10.635000,[R]: 50 
22-57-10.636000,[R]: 0 
22-57-10.648000,[R]: 50 
22-57-10.651000,S 1 	RSSI: 53
22-57-10.655000,[R]: 0 
22-57-10.666000,[R]: 0 
22-57-10.671000,S 1 	RSSI: 53
22-57-10.676000,[R]: 50 
22-57-10.676000,[R]: 0 
22-57-10.686000,[R]: 0 
22-57-10.690000,S 1 	RSSI: 53
22-57-10.695000,[R]: 50 
22-57-10.696000,[R]: 0 
22-57-10.706000,[R]: 0 
22-57-10.710000,S 1 	RSSI: 53
22-57-10.715000,[R]: 50 
22-57-10.715000,[R]: 0 
22-57-10.726000,[R]: 0 
22-57-10.730000,S 1 	RSSI: 53
22-57-10.735000,[R]: 50 
22-57-10.736000,[R]: 0 
22-57-10.746000,[R]: 0 
22-57-10.750000,S 1 	RSSI: 53
22-57-10.755000,[R]: 50 
22-57-10.756000,[R]: 0 
22-57-10.765000,[R]: 0 
22-57-10.770000,S 1 	RSSI: 53
22-57-10.775000,[R]: 50 
22-57-10.776000,[R]: 0 
22-57-10.784000,[R]: 0 
22-57-10.790000,S 1 	RSSI: 53
22-57-10.794000,[R]: 50 
22-57-10.795000,[R]: 0 
22-57-10.805000,[R]: 0 
22-57-10.808000,S 1 	RSSI: 53
22-57-10.815000,[R]: 50 
22-57-10.820000,[R]: 0 
22-57-10.821000,S 1 	RSSI: 53
22-57-10.825000,[R]: 0 
22-57-10.830000,S 1 	RSSI: 53
22-57-10.834000,[R]: 50 
22-57-10.835000,[R]: 0 
22-57-10.841000,S 1 	RSSI: 53
22-57-10.844000,[R]: 0 
22-57-10.848000,S 1 	RSSI: 53
22-57-10.854000,[R]: 50 
22-57-10.855000,[R]: 0 
22-57-10.861000,S 1 	RSSI: 53
22-57-10.864000,[R]: 0 
22-57-10.874000,[R]: 50 
22-57-10.878000,[R]: 0 
22-57-10.885000,[R]: 0 
22-57-10.895000,[R]: 50 
22-57-10.895000,[R]: 0 
22-57-10.905000,[R]: 0 
22-57-10.908000,S 1 	RSSI: 53
22-57-10.915000,[R]: 50 
22-57-10.917000,[R]: 0 
22-57-10.921000,S 1 	RSSI: 53
22-57-10.924000,[R]: 0 
22-57-10.935000,[R]: 50 
22-57-10.937000,[R]: 0 
22-57-10.945000,[R]: 0 
22-57-10.955000,[R]: 50 
22-57-10.958000,[R]: 0 
22-57-10.965000,[R]: 0 
22-57-10.975000,[R]: 50 
22-57-10.976000,[R]: 0 
22-57-10.985000,[R]: 0 
22-57-10.988000,S 1 	RSSI: 53
22-57-10.995000,[R]: 50 
22-57-10.995000,[R]: 0 
22-57-11.002000,S 1 	RSSI: 53
22-57-11.005000,[R]: 0 
22-57-11.015000,[R]: 50 
22-57-11.021000,[R]: 0 
22-57-11.025000,[R]: 0 
22-57-11.035000,[R]: 50 
22-57-11.035000,[R]: 0 
22-57-11.045000,[R]: 0 
22-57-11.048000,S 1 	RSSI: 53
22-57-11.055000,[R]: 50 
22-57-11.055000,[R]: 0 
22-57-11.062000,S 1 	RSSI: 53
22-57-11.066000,[R]: 0 
22-57-11.069000,S 1 	RSSI: 53
22-57-11.075000,[R]: 50 
22-57-11.076000,[R]: 0 
22-57-11.082000,S 1 	RSSI: 53
22-57-11.085000,[R]: 0 
22-57-11.095000,[R]: 50 
22-57-11.099000,[R]: 0 
22-57-11.106000,[R]: 0 
22-57-11.115000,[R]: 50 
22-57-11.120000,[R]: 0 
22-57-11.126000,[R]: 0 
22-57-11.129000,S 1 	RSSI: 53
22-57-11.135000,[R]: 50 
22-57-11.137000,[R]: 0 
22-57-11.142000,S 1 	RSSI: 53
22-57-11.146000,[R]: 0 
22-57-11.154000,[R]: 50 
22-57-11.155000,[R]: 0 
22-57-11.164000,[R]: 0 
22-57-11.174000,[R]: 50 
22-57-11.175000,[R]: 0 
22-57-11.184000,[R]: 0 
22-57-11.188000,S 1 	RSSI: 53
22-57-11.194000,[R]: 50 
22-57-11.205000,[R]: 0 
22-57-11.208000,S 1 	RSSI: 53
22-57-11.214000,[R]: 50 
22-57-11.215000,[R]: 0 
22-57-11.221000,S 1 	RSSI: 53
22-57-11.225000,[R]: 0 
22-57-11.234000,[R]: 50 
22-57-11.235000,[R]: 0 
22-57-11.245000,[R]: 0 
22-57-11.254000,[R]: 50 
22-57-11.255000,[R]: 0 
22-57-11.268000,[R]: 50 
22-57-11.274000,[R]: 0 
22-57-11.287000,[R]: 50 
22-57-11.294000,[R]: 0 
22-57-11.307000,[R]: 50 
22-57-11.314000,[R]: 0 
22-57-11.327000,[R]: 50 
22-57-11.334000,[R]: 0 
22-57-11.347000,[R]: 50 
22-57-11.354000,[R]: 0 
22-57-11.366000,[R]: 50 
22-57-11.374000,[R]: 0 
22-57-11.386000,[R]: 50 
22-57-11.394000,[R]: 0 
22-57-11.407000,[R]: 50 
22-57-11.415000,[R]: 0 
22-57-11.426000,[R]: 50 
22-57-11.434000,[R]: 0 
22-57-11.446000,[R]: 50 
22-57-11.456000,[R]: 0 
22-57-11.466000,[R]: 50 
22-57-11.475000,[R]: 0 
22-57-11.486000,[R]: 50 
22-57-11.495000,[R]: 0 
22-57-11.505000,[R]: 50 
22-57-11.516000,[R]: 0 
22-57-11.524000,[R]: 50 
22-57-11.535000,[R]: 0 
22-57-11.544000,[R]: 50 
22-57-11.545000,[R]: 0 
22-57-11.555000,[R]: 0 
22-57-11.564000,[R]: 50 
22-57-11.567000,[R]: 0 
22-57-11.575000,[R]: 0 
22-57-11.578000,S 1 	RSSI: 54
22-57-11.585000,[R]: 50 
22-57-11.588000,[R]: 0 
22-57-11.591000,S 1 	RSSI: 53
22-57-11.595000,[R]: 0 
22-57-11.598000,S 1 	RSSI: 53
22-57-11.604000,[R]: 50 
22-57-11.605000,[R]: 0 
22-57-11.611000,S 1 	RSSI: 53
22-57-11.615000,[R]: 0 
22-57-11.624000,[R]: 50 
22-57-11.627000,[R]: 0 
22-57-11.635000,[R]: 0 
22-57-11.644000,[R]: 50 
22-57-11.645000,[R]: 0 
22-57-11.655000,[R]: 0 
22-57-11.658000,S 1 	RSSI: 53
22-57-11.665000,[R]: 50 
22-57-11.666000,[R]: 0 
22-57-11.671000,S 1 	RSSI: 53
22-57-11.676000,[R]: 0 
22-57-11.685000,[R]: 50 
22-57-11.687000,[R]: 0 
22-57-11.695000,[R]: 0 
