23-03-18.495000,------------------------------------------
23-07-23.078000,[R]: 20 
23-07-23.081000,[R]: 1 
23-07-23.092000,[R]: 50 
23-07-23.093000,[R]: 2 
23-07-23.098000,[R]: 3 
23-07-23.109000,[R]: 4 
23-07-23.110000,[R]: 5 
23-07-23.110000,[R]: 6 
23-07-23.111000,[R]: 7 
23-07-23.111000,[R]: 8 
23-07-23.114000,[R]: 1 
23-07-23.138000,[R]: 50 
23-07-23.138000,[R]: 2 
23-07-23.139000,[R]: 3 
23-07-23.139000,[R]: 4 
23-07-23.140000,[R]: 5 
23-07-23.140000,[R]: 6 
23-07-23.141000,[R]: 7 
23-07-23.162000,[R]: 8 
23-07-23.188000,[R]: 1 
23-07-23.188000,[R]: 50 
23-07-23.189000,[R]: 2 
23-07-23.190000,[R]: 3 
23-07-23.191000,[R]: 4 
23-07-23.192000,[R]: 5 
23-07-23.193000,[R]: 6 
23-07-23.193000,[R]: 7 
23-07-23.205000,[R]: 8 
23-07-23.206000,[R]: 1 
23-07-23.229000,[R]: 50 
23-07-23.292000,[R]: 2 
23-07-23.292000,[R]: 3 
23-07-23.293000,[R]: 4 
23-07-23.294000,[R]: 5 
23-07-23.294000,[R]: 20 
23-07-23.295000,[R]: 1 
23-07-23.316000,[R]: 50 
23-07-23.326000,[R]: 2 
23-07-23.327000,[R]: 3 
23-07-23.327000,[R]: 4 
23-07-23.329000,[R]: 5 
23-07-23.344000,[R]: 6 
23-07-23.350000,[R]: 7 
23-07-23.350000,[R]: 8 
23-07-23.351000,S 8 	RSSI: 53
23-07-23.351000,[R]: 1 
23-07-23.369000,[R]: 50 
23-07-23.370000,[R]: 2 
23-07-23.370000,[R]: 3 
23-07-23.395000,[R]: 4 
23-07-23.397000,[R]: 5 
23-07-23.397000,[R]: 6 
23-07-23.423000,[R]: 7 
23-07-23.424000,[R]: 8 
23-07-23.424000,[R]: 1 
23-07-23.425000,[R]: 50 
23-07-23.426000,[R]: 2 
23-07-23.437000,[R]: 3 
23-07-23.444000,[R]: 4 
23-07-23.444000,[R]: 5 
23-07-23.445000,[R]: 6 
23-07-23.446000,[R]: 7 
23-07-23.446000,[R]: 8 
23-07-23.458000,[R]: 1 
23-07-23.479000,[R]: 50 
23-07-23.480000,[R]: 2 
23-07-23.481000,[R]: 3 
23-07-23.481000,[R]: 4 
23-07-23.482000,[R]: 5 
23-07-23.482000,[R]: 6 
23-07-23.483000,[R]: 7 
23-07-23.483000,[R]: 8 
23-07-23.484000,[R]: 1 
23-07-23.511000,[R]: 50 
23-07-23.529000,[R]: 2 
23-07-23.529000,[R]: 3 
23-07-23.530000,[R]: 4 
23-07-23.530000,[R]: 5 
23-07-23.531000,[R]: 6 
23-07-23.531000,[R]: 7 
23-07-23.532000,[R]: 8 
23-07-23.533000,[R]: 1 
23-07-23.561000,[R]: 50 
23-07-23.561000,[R]: 2 
23-07-23.562000,[R]: 3 
23-07-23.570000,[R]: 4 
23-07-23.571000,[R]: 5 
23-07-23.599000,[R]: 6 
23-07-23.600000,[R]: 7 
23-07-23.600000,[R]: 8 
23-07-23.610000,[R]: 1 
23-07-23.610000,[R]: 50 
23-07-23.615000,[R]: 2 
23-07-23.638000,[R]: 3 
23-07-23.638000,[R]: 4 
23-07-23.639000,[R]: 5 
23-07-23.650000,[R]: 6 
23-07-23.651000,[R]: 7 
23-07-23.651000,[R]: 8 
23-07-23.652000,[R]: 1 
23-07-23.655000,[R]: 50 
23-07-23.656000,[R]: 2 
23-07-23.656000,[R]: 3 
23-07-23.657000,[R]: 4 
23-07-23.703000,[R]: 5 
23-07-23.707000,S 3 	RSSI: 62
23-07-23.707000,[R]: 6 
23-07-23.732000,[R]: 7 
23-07-23.732000,S 5 	RSSI: 64
23-07-23.733000,[R]: 8 
23-07-23.745000,S 8 	RSSI: 53
23-07-23.746000,[R]: 1 
23-07-23.748000,[R]: 50 
23-07-23.748000,[R]: 2 
23-07-23.749000,S 2 	RSSI: 63
23-07-23.749000,[R]: 3 
23-07-23.750000,[R]: 4 
23-07-23.750000,[R]: 5 
23-07-23.750000,[R]: 6 
23-07-23.765000,[R]: 7 
23-07-23.766000,[R]: 8 
23-07-23.800000,S 8 	RSSI: 55
23-07-23.801000,[R]: 1 
23-07-23.814000,[R]: 50 
23-07-23.825000,S 6 	RSSI: 47
23-07-23.855000,[R]: 2 
23-07-23.856000,S 2 	RSSI: 63
23-07-23.861000,S 7 	RSSI: 45
23-07-23.904000,[R]: 3 
23-07-23.910000,[R]: 4 
23-07-23.910000,[R]: 5 
23-07-23.911000,[R]: 20 
23-07-23.911000,[R]: 1 
23-07-23.912000,[R]: 50 
23-07-23.912000,[R]: 2 
23-07-23.913000,[R]: 3 
23-07-23.914000,[R]: 4 
23-07-23.914000,S 4 	RSSI: 52
23-07-23.915000,[R]: 5 
23-07-23.936000,S 7 	RSSI: 45
23-07-23.936000,[R]: 6 
23-07-23.937000,S 6 	RSSI: 47
23-07-23.939000,[R]: 7 
23-07-23.945000,[R]: 8 
23-07-23.945000,[R]: 1 
23-07-23.946000,[R]: 50 
23-07-23.946000,[R]: 2 
23-07-23.947000,[R]: 3 
23-07-23.947000,[R]: 4 
23-07-23.951000,S 4 	RSSI: 52
23-07-23.994000,[R]: 5 
23-07-24.021000,S 7 	RSSI: 45
23-07-24.022000,[R]: 6 
23-07-24.023000,[R]: 7 
23-07-24.024000,[R]: 8 
23-07-24.024000,[R]: 1 
23-07-24.025000,[R]: 50 
23-07-24.025000,[R]: 2 
23-07-24.026000,[R]: 3 
23-07-24.026000,[R]: 4 
23-07-24.027000,[R]: 5 
23-07-24.107000,[R]: 6 
23-07-24.110000,S 3 	RSSI: 62
23-07-24.110000,[R]: 7 
23-07-24.111000,[R]: 8 
23-07-24.111000,S 5 	RSSI: 68
23-07-24.112000,[R]: 1 
23-07-24.112000,[R]: 50 
23-07-24.113000,[R]: 2 
23-07-24.113000,[R]: 3 
23-07-24.114000,[R]: 4 
23-07-24.114000,[R]: 5 
23-07-24.118000,[R]: 20 
23-07-24.119000,[R]: 1 
23-07-24.120000,[R]: 50 
23-07-24.121000,[R]: 2 
23-07-24.121000,[R]: 3 
23-07-24.149000,S 5 	RSSI: 63
23-07-24.150000,[R]: 4 
23-07-24.151000,S 8 	RSSI: 53
23-07-24.158000,[R]: 5 
23-07-24.158000,[R]: 6 
23-07-24.159000,[R]: 7 
23-07-24.159000,[R]: 8 
23-07-24.160000,[R]: 1 
23-07-24.161000,[R]: 50 
23-07-24.161000,[R]: 2 
23-07-24.162000,[R]: 3 
23-07-24.162000,[R]: 4 
23-07-24.204000,S 8 	RSSI: 53
23-07-24.234000,[R]: 5 
23-07-24.247000,[R]: 6 
23-07-24.247000,[R]: 7 
23-07-24.273000,[R]: 8 
23-07-24.281000,[R]: 1 
23-07-24.281000,[R]: 50 
23-07-24.282000,[R]: 2 
23-07-24.282000,[R]: 3 
23-07-24.283000,[R]: 20 
23-07-24.283000,[R]: 1 
23-07-24.284000,[R]: 50 
23-07-24.284000,[R]: 2 
23-07-24.308000,S 4 	RSSI: 52
23-07-24.309000,[R]: 3 
23-07-24.309000,[R]: 4 
23-07-24.310000,[R]: 5 
23-07-24.310000,S 7 	RSSI: 49
23-07-24.311000,[R]: 6 
23-07-24.311000,[R]: 7 
23-07-24.312000,[R]: 8 
23-07-24.312000,[R]: 1 
23-07-24.341000,[R]: 50 
23-07-24.341000,[R]: 2 
23-07-24.342000,S 4 	RSSI: 54
23-07-24.342000,[R]: 3 
23-07-24.343000,[R]: 4 
23-07-24.345000,[R]: 5 
23-07-24.351000,S 7 	RSSI: 45
23-07-24.351000,[R]: 6 
23-07-24.352000,[R]: 7 
23-07-24.364000,[R]: 8 
23-07-24.382000,[R]: 1 
23-07-24.383000,[R]: 50 
23-07-24.384000,[R]: 2 
23-07-24.384000,S 4 	RSSI: 52
23-07-24.385000,[R]: 3 
23-07-24.386000,[R]: 4 
23-07-24.387000,[R]: 5 
23-07-24.387000,S 7 	RSSI: 45
23-07-24.388000,[R]: 6 
23-07-24.388000,[R]: 7 
23-07-24.389000,[R]: 8 
23-07-24.389000,[R]: 1 
23-07-24.390000,[R]: 50 
23-07-24.390000,[R]: 2 
23-07-24.396000,[R]: 3 
23-07-24.396000,[R]: 4 
23-07-24.397000,[R]: 5 
23-07-24.398000,S 7 	RSSI: 45
23-07-24.428000,[R]: 20 
23-07-24.429000,[R]: 1 
23-07-24.431000,[R]: 50 
23-07-24.432000,[R]: 2 
23-07-24.432000,[R]: 3 
23-07-24.433000,[R]: 4 
23-07-24.433000,[R]: 5 
23-07-24.472000,[R]: 6 
23-07-24.473000,[R]: 7 
23-07-24.473000,[R]: 8 
23-07-24.474000,[R]: 1 
23-07-24.475000,[R]: 50 
23-07-24.511000,[R]: 2 
23-07-24.512000,[R]: 3 
23-07-24.512000,S 5 	RSSI: 63
23-07-24.512000,[R]: 4 
23-07-24.513000,[R]: 5 
23-07-24.513000,[R]: 6 
23-07-24.514000,[R]: 7 
23-07-24.514000,[R]: 8 
23-07-24.514000,[R]: 1 
23-07-24.515000,[R]: 50 
23-07-24.515000,S 3 	RSSI: 62
23-07-24.516000,[R]: 2 
23-07-24.607000,[R]: 3 
23-07-24.623000,S 5 	RSSI: 65
23-07-24.623000,[R]: 4 
23-07-24.624000,[R]: 5 
23-07-24.624000,[R]: 6 
23-07-24.624000,S 3 	RSSI: 62
23-07-24.627000,[R]: 7 
23-07-24.627000,[R]: 8 
23-07-24.628000,S 5 	RSSI: 63
23-07-24.628000,[R]: 1 
23-07-24.629000,[R]: 50 
23-07-24.629000,[R]: 2 
23-07-24.630000,[R]: 3 
23-07-24.630000,S 8 	RSSI: 52
23-07-24.631000,[R]: 4 
23-07-24.631000,[R]: 5 
23-07-24.632000,[R]: 20 
23-07-24.632000,[R]: 1 
23-07-24.633000,[R]: 50 
23-07-24.633000,[R]: 2 
23-07-24.667000,[R]: 3 
23-07-24.701000,[R]: 4 
23-07-24.758000,[R]: 5 
23-07-24.795000,[R]: 6 
23-07-24.796000,S 8 	RSSI: 52
23-07-24.796000,[R]: 7 
23-07-24.826000,[R]: 8 
23-07-24.827000,[R]: 1 
23-07-24.827000,[R]: 50 
23-07-24.828000,[R]: 2 
23-07-24.862000,[R]: 3 
23-07-24.863000,[R]: 4 
23-07-24.863000,[R]: 5 
23-07-24.877000,[R]: 6 
23-07-24.920000,S 8 	RSSI: 52
23-07-24.920000,[R]: 7 
23-07-24.921000,[R]: 8 
23-07-24.922000,[R]: 1 
23-07-24.939000,[R]: 50 
23-07-24.939000,[R]: 2 
23-07-24.940000,S 6 	RSSI: 47
23-07-24.941000,[R]: 3 
23-07-24.941000,[R]: 20 
23-07-24.942000,[R]: 1 
23-07-24.978000,[R]: 50 
23-07-24.978000,[R]: 2 
23-07-24.979000,[R]: 3 
23-07-24.979000,[R]: 4 
23-07-24.980000,S 4 	RSSI: 52
23-07-24.980000,[R]: 5 
23-07-24.981000,[R]: 6 
23-07-24.981000,[R]: 7 
23-07-24.982000,S 7 	RSSI: 46
23-07-24.982000,[R]: 8 
23-07-24.985000,[R]: 1 
23-07-24.985000,[R]: 50 
23-07-24.986000,[R]: 2 
23-07-24.986000,[R]: 3 
23-07-24.987000,[R]: 4 
23-07-25.075000,S 4 	RSSI: 52
23-07-25.084000,[R]: 5 
23-07-25.139000,[R]: 6 
23-07-25.152000,[R]: 7 
23-07-25.153000,S 7 	RSSI: 46
23-07-25.154000,[R]: 8 
23-07-25.154000,[R]: 1 
23-07-25.155000,[R]: 50 
23-07-25.155000,[R]: 2 
23-07-25.156000,[R]: 3 
23-07-25.157000,[R]: 4 
23-07-25.157000,[R]: 5 
23-07-25.209000,[R]: 6 
23-07-25.209000,[R]: 7 
23-07-25.210000,[R]: 8 
23-07-25.210000,S 5 	RSSI: 63
23-07-25.211000,[R]: 1 
23-07-25.296000,[R]: 50 
23-07-25.297000,[R]: 2 
23-07-25.297000,[R]: 3 
23-07-25.298000,S 8 	RSSI: 51
23-07-25.310000,[R]: 4 
23-07-25.311000,[R]: 5 
23-07-25.312000,[R]: 20 
23-07-25.324000,[R]: 1 
23-07-25.345000,[R]: 50 
23-07-25.345000,[R]: 2 
23-07-25.346000,[R]: 3 
23-07-25.346000,[R]: 4 
23-07-25.346000,[R]: 5 
23-07-25.347000,[R]: 6 
23-07-25.348000,S 8 	RSSI: 51
23-07-25.348000,[R]: 7 
23-07-25.349000,[R]: 8 
23-07-25.349000,[R]: 1 
23-07-25.352000,[R]: 50 
23-07-25.394000,[R]: 2 
23-07-25.395000,[R]: 3 
23-07-25.395000,[R]: 4 
23-07-25.398000,[R]: 5 
23-07-25.399000,[R]: 6 
23-07-25.404000,S 8 	RSSI: 53
23-07-25.409000,[R]: 7 
23-07-25.410000,S 6 	RSSI: 47
23-07-25.411000,[R]: 8 
23-07-25.412000,S 7 	RSSI: 45
23-07-25.413000,[R]: 1 
23-07-25.416000,[R]: 50 
23-07-25.463000,[R]: 2 
23-07-25.467000,[R]: 3 
23-07-25.467000,[R]: 20 
23-07-25.483000,[R]: 1 
23-07-25.484000,[R]: 50 
23-07-25.503000,[R]: 2 
23-07-25.503000,[R]: 3 
23-07-25.504000,[R]: 4 
23-07-25.504000,S 4 	RSSI: 52
23-07-25.504000,[R]: 5 
23-07-25.505000,[R]: 6 
23-07-25.505000,S 6 	RSSI: 47
23-07-25.529000,[R]: 7 
23-07-25.530000,S 7 	RSSI: 45
23-07-25.604000,[R]: 8 
23-07-25.700000,[R]: 1 
23-07-25.715000,[R]: 50 
23-07-25.716000,[R]: 2 
23-07-25.716000,[R]: 3 
23-07-25.717000,[R]: 4 
23-07-25.717000,S 4 	RSSI: 52
23-07-25.760000,[R]: 5 
23-07-25.760000,[R]: 6 
23-07-25.761000,[R]: 7 
23-07-25.761000,S 7 	RSSI: 45
23-07-25.762000,[R]: 8 
23-07-25.846000,[R]: 1 
23-07-25.846000,[R]: 50 
23-07-25.846000,[R]: 2 
23-07-25.847000,[R]: 3 
23-07-25.847000,[R]: 4 
23-07-25.847000,[R]: 5 
23-07-25.848000,[R]: 6 
23-07-25.848000,[R]: 7 
23-07-25.849000,[R]: 8 
23-07-25.849000,S 5 	RSSI: 63
23-07-25.849000,[R]: 1 
23-07-25.850000,[R]: 50 
23-07-25.850000,[R]: 2 
23-07-25.962000,[R]: 3 
23-07-25.962000,S 8 	RSSI: 52
23-07-25.963000,[R]: 4 
23-07-25.963000,S 3 	RSSI: 62
23-07-25.963000,[R]: 5 
23-07-25.964000,[R]: 6 
23-07-25.964000,[R]: 7 
23-07-25.964000,[R]: 8 
23-07-25.965000,[R]: 1 
23-07-25.965000,[R]: 50 
23-07-25.965000,[R]: 2 
23-07-25.966000,[R]: 3 
23-07-25.966000,S 8 	RSSI: 52
23-07-25.967000,S 2 	RSSI: 63
23-07-26.046000,[R]: 4 
23-07-26.046000,[R]: 5 
23-07-26.047000,S 6 	RSSI: 47
23-07-26.047000,[R]: 6 
23-07-26.048000,[R]: 7 
23-07-26.048000,[R]: 8 
23-07-26.049000,S 2 	RSSI: 63
23-07-26.103000,[R]: 1 
23-07-26.103000,[R]: 50 
23-07-26.104000,[R]: 2 
23-07-26.216000,S 4 	RSSI: 52
