23-06-15.340000,-------
23-06-20.024000,[R]: 0 
23-06-20.031000,[R]: 50 
23-06-20.043000,[R]: 50 
23-06-20.071000,[R]: 50 
23-06-20.072000,[R]: 0 
23-06-20.072000,[R]: 50 
23-06-20.073000,[R]: 0 
23-06-20.074000,[R]: 50 
23-06-20.083000,[R]: 50 
23-06-20.097000,[R]: 50 
23-06-20.103000,[R]: 0 
23-06-20.105000,[R]: 50 
23-06-20.106000,[R]: 0 
23-06-20.114000,[R]: 50 
23-06-20.123000,[R]: 50 
23-06-20.136000,[R]: 50 
23-06-20.137000,[R]: 0 
23-06-20.145000,[R]: 50 
23-06-20.146000,[R]: 0 
23-06-20.152000,[R]: 50 
23-06-20.163000,[R]: 50 
23-06-20.174000,[R]: 50 
23-06-20.183000,[R]: 0 
23-06-20.185000,[R]: 50 
23-06-20.198000,[R]: 0 
23-06-20.200000,[R]: 50 
23-06-20.204000,[R]: 50 
23-06-20.214000,[R]: 50 
23-06-20.217000,[R]: 0 
23-06-20.224000,[R]: 50 
23-06-20.224000,[R]: 0 
23-06-20.231000,[R]: 50 
23-06-20.248000,[R]: 50 
23-06-20.253000,[R]: 50 
23-06-20.269000,[R]: 0 
23-06-20.270000,[R]: 50 
23-06-20.271000,[R]: 0 
23-06-20.271000,[R]: 50 
23-06-20.284000,[R]: 50 
23-06-20.293000,[R]: 50 
23-06-20.296000,[R]: 0 
23-06-20.305000,[R]: 50 
23-06-20.373000,[R]: 0 
23-06-20.374000,[R]: 50 
23-06-20.375000,[R]: 50 
23-06-20.375000,[R]: 50 
23-06-20.376000,[R]: 0 
23-06-20.385000,[R]: 50 
23-06-20.386000,[R]: 0 
23-06-20.390000,[R]: 50 
23-06-20.391000,[R]: 50 
23-06-20.423000,[R]: 50 
23-06-20.424000,[R]: 0 
23-06-20.449000,[R]: 50 
23-06-20.482000,[R]: 0 
23-06-20.507000,[R]: 50 
23-06-20.508000,[R]: 50 
23-06-20.508000,[R]: 50 
23-06-20.509000,[R]: 0 
23-06-20.511000,[R]: 50 
23-06-20.513000,[R]: 0 
23-06-20.521000,[R]: 50 
23-06-20.521000,[R]: 50 
23-06-20.522000,[R]: 50 
23-06-20.523000,[R]: 0 
23-06-20.523000,[R]: 50 
23-06-20.525000,[R]: 0 
23-06-20.526000,[R]: 50 
23-06-20.526000,[R]: 50 
23-06-20.529000,[R]: 50 
23-06-20.530000,[R]: 0 
23-06-20.531000,[R]: 50 
23-06-20.532000,[R]: 0 
23-06-20.591000,[R]: 50 
23-06-20.591000,[R]: 50 
23-06-20.592000,[R]: 50 
23-06-20.592000,[R]: 0 
23-06-20.750000,[R]: 50 
23-06-20.790000,[R]: 0 
23-06-20.790000,[R]: 50 
23-06-20.791000,[R]: 50 
23-06-20.791000,[R]: 50 
23-06-20.792000,[R]: 0 
23-06-20.792000,[R]: 50 
23-06-20.794000,[R]: 0 
23-06-20.795000,[R]: 50 
23-06-20.795000,[R]: 50 
23-06-20.796000,[R]: 50 
23-06-20.797000,[R]: 0 
23-06-20.803000,[R]: 50 
23-06-20.805000,[R]: 0 
23-06-20.807000,[R]: 50 
23-06-20.808000,[R]: 50 
23-06-20.809000,[R]: 50 
23-06-20.811000,[R]: 0 
23-06-20.816000,[R]: 50 
23-06-20.816000,[R]: 0 
23-06-20.817000,[R]: 50 
23-06-20.818000,[R]: 50 
23-06-20.818000,[R]: 50 
23-06-20.819000,[R]: 0 
23-06-20.819000,[R]: 50 
23-06-20.821000,[R]: 0 
23-06-20.821000,[R]: 50 
23-06-20.822000,[R]: 50 
23-06-20.822000,[R]: 50 
23-06-20.826000,[R]: 0 
23-06-20.828000,[R]: 50 
23-06-20.828000,[R]: 0 
23-06-20.829000,[R]: 50 
23-06-20.829000,[R]: 50 
23-06-20.831000,[R]: 50 
23-06-20.831000,[R]: 0 
23-06-20.832000,[R]: 50 
23-06-20.833000,[R]: 0 
23-06-20.838000,[R]: 50 
23-06-20.838000,[R]: 50 
