23-18-15.625,"""Scanner enabled\r\n"""
23-18-20.494,"type 2, info: ---a_new_sensor_enters---"""
23-18-21.899,"type 1, info: ---a_new_sensor_enters---"""
23-19-18.763,"type 3, info: ---a_new_sensor_enters---"""
23-19-31.580,"type 4, info: ---a_new_sensor_enters---"""
23-19-46.803,"type 5, info: ---a_new_sensor_enters---"""
23-20-05.309,"type 6, info: ---a_new_sensor_enters---"""
23-20-18.207,"type 7, info: ---a_new_sensor_enters---"""
23-20-31.940,"type 8, info: ---a_new_sensor_enters---"""
23-20-31.983, 0 0 0 0 0 0 0 0
23-20-31.984,0 0 0 0 0 0 0 0
23-20-31.985,0 0 0 0 0 0 0 0
23-20-31.988,0 0 0 0 0 0 0 0
23-20-31.990,0 0 0 0 0 0 0 0
23-20-31.994,0 0 0 0 0 0 0 0
23-20-31.995,0 0 0 0 0 0 0 0
23-20-31.997,0 0 0 0 0 0 0 0
23-20-31.999,
23-20-32.000,"1 46"""
23-20-32.005,"2 46"""
23-20-32.008,"8 53"""
23-20-32.014,"1 45"""
23-20-32.024, 0 0 0 0 0 0 0 0
23-20-32.028,0 0 0 0 0 0 0 0
23-20-32.029,0 0 0 0 0 0 0 0
23-20-32.031,0 0 0 0 0 0 0 0
23-20-32.032,0 0 0 0 0 0 0 0
23-20-32.038,0 0 0 0 0 0 0 0
23-20-32.039,0 0 0 0 0 0 0 0
23-20-32.040,58 45 0 0 0 0 0 0
23-20-32.042,"""8 53"""
23-20-32.047,"1 45"""
23-20-32.050,"2 46"""
23-20-32.063, 0 0 0 0 0 0 0 0
23-20-32.070,46 0 0 0 0 0 0 0
23-20-32.073,0 0 0 0 0 0 0 0
23-20-32.073,0 0 0 0 0 0 0 0
23-20-32.074,0 0 0 0 0 0 0 0
23-20-32.074,0 0 0 0 0 0 0 0
23-20-32.075,0 0 0 0 0 0 0 0
23-20-32.076,58 0 0 0 0 0 0 0
23-20-32.076,"""8 53"""
23-20-32.079,"1 45"""
23-20-32.083,"2 46"""
23-20-32.103, 0 0 0 0 0 0 0 0
23-20-32.104,46 0 0 0 0 0 0 0
23-20-32.105,0 0 0 0 0 0 0 0
23-20-32.105,0 0 0 0 0 0 0 0
23-20-32.106,0 0 0 0 0 0 0 0
23-20-32.106,0 0 0 0 0 0 0 0
23-20-32.107,0 0 0 0 0 0 0 0
23-20-32.108,57 45 0 0 0 0 0 0
23-20-32.108,"""8 53"""
23-20-32.115,"2 46"""
23-20-32.142, 0 0 0 0 0 0 0 0
23-20-32.144,0 0 0 0 0 0 0 0
23-20-32.144,0 0 0 0 0 0 0 0
23-20-32.145,0 0 0 0 0 0 0 0
23-20-32.146,0 0 0 0 0 0 0 0
23-20-32.146,0 0 0 0 0 0 0 0
23-20-32.147,0 0 0 0 0 0 0 0
23-20-32.147,0 45 0 0 0 0 0 0
23-20-32.148,
23-20-32.148,"8 51"""
23-20-32.150,"2 46"""
23-20-32.182, 0 0 0 0 0 0 0 0
23-20-32.188,0 0 0 0 0 0 0 0
23-20-32.196,0 0 0 0 0 0 0 0
23-20-32.202,0 0 0 0 0 0 0 0
23-20-32.203,0 0 0 0 0 0 0 0
23-20-32.211,0 0 0 0 0 0 0 0
23-20-32.223,0 0 0 0 0 0 0 0
23-20-32.225,0 0 0 0 0 0 0 0
23-20-32.232,
23-20-32.238,"2 46"""
