23-18-26.711000,---------
23-18-26.712000,S 8 	RSSI: 44
23-18-26.712000,S 8 	RSSI: 44
23-18-26.713000,S 8 	RSSI: 44
23-18-26.714000,S 8 	RSSI: 44
23-18-26.714000,S 3 	RSSI: 44
23-18-26.715000,S 8 	RSSI: 44
23-18-26.715000,S 3 	RSSI: 44
23-18-26.717000,S 8 	RSSI: 44
23-18-26.717000,S 3 	RSSI: 44
23-18-26.718000,S 8 	RSSI: 44
23-18-26.719000,S 3 	RSSI: 44
23-18-26.720000,S 8 	RSSI: 44
23-18-27.923000,"S 3 	RSSI: 44
S 3 	RSSI: 44"
23-18-27.956000,S 3 	RSSI: 44
23-18-27.989000,S 3 	RSSI: 44
23-18-28.022000,S 3 	RSSI: 44
23-18-28.055000,S 3 	RSSI: 44
23-18-28.087000,S 3 	RSSI: 44
23-18-28.120000,S 3 	RSSI: 44
23-18-28.153000,S 3 	RSSI: 44
23-18-28.219000,S 3 	RSSI: 44
23-18-28.279000,S 3 	RSSI: 44
23-18-28.300000,S 3 	RSSI: 44
23-18-28.317000,S 3 	RSSI: 44
23-18-28.349000,S 3 	RSSI: 44
23-18-28.382000,S 3 	RSSI: 44
23-18-28.415000,S 3 	RSSI: 44
23-18-28.448000,S 3 	RSSI: 44
23-18-28.480000,S 3 	RSSI: 44
23-18-28.513000,S 3 	RSSI: 44
23-18-28.546000,S 3 	RSSI: 44
23-18-28.580000,S 3 	RSSI: 44
23-18-28.612000,S 3 	RSSI: 44
23-18-28.617000,S 6 	RSSI: 44
23-18-28.642000,S 7 	RSSI: 44
23-18-28.650000,S 6 	RSSI: 44
23-18-28.673000,S 7 	RSSI: 44
23-18-28.682000,S 6 	RSSI: 44
23-18-28.740000,S 8 	RSSI: 44
23-18-28.773000,S 8 	RSSI: 44
23-18-28.806000,S 8 	RSSI: 44
23-18-28.838000,S 8 	RSSI: 44
23-18-29.400000,S 3 	RSSI: 44
23-18-29.432000,S 3 	RSSI: 44
23-18-29.530000,S 3 	RSSI: 44
23-18-29.596000,S 3 	RSSI: 44
23-18-29.629000,S 3 	RSSI: 44
23-18-29.661000,S 3 	RSSI: 44
23-18-29.695000,S 3 	RSSI: 44
23-18-29.728000,S 3 	RSSI: 44
23-18-29.760000,S 3 	RSSI: 44
23-18-29.792000,S 3 	RSSI: 44
23-18-29.825000,S 3 	RSSI: 44
23-18-29.858000,S 3 	RSSI: 44
23-18-29.891000,S 3 	RSSI: 44
23-18-29.924000,S 3 	RSSI: 44
23-18-29.956000,S 3 	RSSI: 44
23-18-29.989000,S 3 	RSSI: 44
23-18-30.022000,S 3 	RSSI: 44
23-18-30.055000,S 3 	RSSI: 44
23-18-30.088000,S 3 	RSSI: 44
23-18-30.121000,S 3 	RSSI: 44
