23-20-42.639000,I: 53
23-20-42.640000,S 6 	RSSI: 64
23-20-42.641000,S 6 	RSSI: 59
23-20-42.641000,S 5 	RSSI: 54
23-20-42.642000,S 7 	RSSI: 54
23-20-42.643000,S 5 	RSSI: 53
23-20-42.645000,S 8 	RSSI: 50
23-20-42.646000,S 8 	RSSI: 51
23-20-42.647000,S 6 	RSSI: 53
23-20-42.651000,"S 6 	RSSI: 53S 7 	RSSI: 57"
23-20-42.657000,S 7 	RSSI: 57
23-20-42.662000,S 8 	RSSI: S 8 	RSSI: 44[R]: 5 
23-20-42.662000,[R]: 6 
23-20-42.663000,[R]: 7 
23-20-42.663000,[R]: 8 
23-20-42.665000,[R]: 1 
23-20-42.681000,[R]: 50 
23-20-42.682000,[R]: 2 
23-20-42.686000,[R]: 3 
23-20-42.687000,[R]: 4 
23-20-42.695000,S 8 	RSSI: 44
23-20-42.695000,[R]: 5 
23-20-42.696000,[R]: 6 
23-20-42.696000,[R]: 7 
23-20-42.697000,[R]: 8 
23-20-42.698000,[R]: 1 
23-20-42.703000,[R]: 50 
23-20-42.704000,[R]: 2 
23-20-42.707000,[R]: 3 
23-20-42.715000,[R]: 4 
23-20-42.715000,S 8 	RSSI: 44
23-20-42.718000,[R]: 5 
23-20-42.719000,[R]: 6 
23-20-42.720000,[R]: 7 
23-20-42.721000,[R]: 8 
23-20-42.729000,[R]: 1 
23-20-42.729000,[R]: 50 
23-20-42.730000,[R]: 2 
23-20-42.730000,[R]: 3 
23-20-42.731000,[R]: 4 
23-20-42.736000,[R]: 5 
23-20-42.738000,[R]: 20 
23-20-42.740000,[R]: 1 
23-20-42.741000,[R]: 50 
23-20-42.744000,[R]: 2 
23-20-42.747000,[R]: 3 
23-20-42.752000,[R]: 4 
23-20-42.753000,S 3 	RSSI: 64
23-20-42.757000,[R]: 5 
23-20-42.763000,[R]: 6 
23-20-42.764000,[R]: 7 
23-20-42.790000,[R]: 8 
23-20-42.791000,[R]: 1 
23-20-42.792000,[R]: 50 
23-20-42.793000,[R]: 2 
23-20-42.793000,[R]: 3 
23-20-42.794000,S 6 	RSSI: 51
23-20-42.794000,[R]: 4 
23-20-42.795000,[R]: 5 
23-20-42.795000,[R]: 6 
23-20-42.798000,[R]: 7 
23-20-42.802000,[R]: 8 
23-20-42.808000,[R]: 1 
23-20-42.819000,[R]: 50 
23-20-42.820000,[R]: 2 
23-20-42.821000,[R]: 3 
23-20-42.821000,S 6 	RSSI: 51
23-20-42.824000,[R]: 4 
23-20-42.824000,[R]: 5 
23-20-42.826000,[R]: 6 
23-20-42.831000,[R]: 7 
23-20-42.835000,[R]: 8 
